text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,no irony,no irony,1.8798725605010986,3.0,118.0,121.0,no irony
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,irony,0.5735211372375488,3.0,110.0,113.0,irony
#NOT GONNA WIN,no irony,irony,0.6553893089294434,3.0,94.0,97.0,irony
@user He is exactly that sort of person. Weirdo!,no irony,irony,0.4797654151916504,3.0,102.0,105.0,irony
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,irony,0.6230521202087402,3.0,126.0,129.0,irony
Corny jokes are my absolute favorite,no irony,no irony,0.5922865867614746,3.0,95.0,98.0,no irony
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,irony,0.9505741596221924,3.0,121.0,124.0,irony
"@user @user Darn, my sock joke needs fixing?",no irony,irony,0.5024919509887695,3.0,101.0,104.0,irony
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",no irony,irony,0.5951166152954102,3.0,106.0,109.0,irony
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,irony,0.5817410945892334,3.0,115.0,118.0,irony
Most important thing I've learned in school,no irony,no irony,0.6098721027374268,3.0,95.0,98.0,no irony
#OrionLaunch underway - yeah! #Orion,no irony,no irony,0.5934100151062012,3.0,99.0,102.0,no irony
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,irony,0.46430397033691406,3.0,109.0,112.0,irony
Oh boy... @user in the house. Warm up the DJ booth @user,no irony,no irony,0.503108024597168,3.0,104.0,107.0,no irony
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",no irony,irony,0.5872764587402344,3.0,114.0,117.0,irony
"Always classy, never trashy and just a little sassy.",no irony,no irony,0.9614434242248535,3.0,101.0,104.0,no irony
"you believe you can say something, provide no proof and its a fact, WRONG @user @user",no irony,irony,0.6213705539703369,3.0,108.0,111.0,irony
@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,no irony,no irony,0.48900604248046875,3.0,131.0,134.0,no irony
@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,no irony,no irony,0.6278314590454102,3.0,118.0,121.0,no irony
@user Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,irony,irony,0.5363070964813232,3.0,106.0,109.0,irony
Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,irony,irony,0.5539114475250244,3.0,106.0,109.0,irony
The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,irony,irony,0.5722405910491943,3.0,125.0,128.0,irony
Pretty excited about how you gave up on me. File Under: #sarcasm,irony,irony,0.5828778743743896,3.0,105.0,108.0,irony
Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,irony,irony,0.5503017902374268,3.0,120.0,123.0,irony
@user u know that. How u doing??,no irony,no irony,0.5872142314910889,3.0,98.0,101.0,no irony
@user hmm... let me think about that #sarcasm,irony,irony,0.5737953186035156,3.0,101.0,104.0,irony
"If you wanna look like a badass, have drama on social media #not",irony,irony,0.6768324375152588,3.0,103.0,106.0,irony
How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,irony,irony,0.6728920936584473,3.0,109.0,112.0,irony
"@user I think the general rule is, if it's open all night, pull an all-nighter.",no irony,no irony,0.596200704574585,3.0,109.0,112.0,no irony
Natalie Prass - Bird of Prey: via @user,no irony,no irony,0.5011069774627686,3.0,100.0,103.0,no irony
Nooooooooooo again it's on!!! #PickANewSong #CantStandIt,no irony,irony,0.6114368438720703,3.0,104.0,107.0,irony
"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony",irony,irony,0.6152276992797852,3.0,107.0,110.0,irony
@user exactly and we are fighting like animals,no irony,irony,0.49190354347229004,3.0,97.0,100.0,irony
#TeenAnalCasting #Top Top 50 Christian Songs For 2012,no irony,no irony,0.7570393085479736,3.0,103.0,106.0,no irony
The girls on #SororitySisters thought they'd get rich and famous but instead they be like...,no irony,irony,0.5298247337341309,3.0,108.0,111.0,irony
"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?",no irony,no irony,0.5281343460083008,3.0,123.0,126.0,no irony
#TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009,no irony,no irony,0.6243362426757812,3.0,109.0,112.0,no irony
"season 6 episode 3 carries outfit, simple & chic 👌",no irony,no irony,0.5523679256439209,3.0,102.0,105.0,no irony
Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed,irony,irony,0.7397210597991943,3.0,113.0,116.0,irony
"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb",irony,irony,0.753206729888916,3.0,112.0,115.0,irony
Stupid #doctors visits is gonna bury me!! Now that's #irony,irony,irony,0.7030923366546631,3.0,104.0,107.0,irony
"Love the way @user says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony",irony,irony,0.7111833095550537,3.0,127.0,130.0,irony
Planning a vacation instead of studying.... My priorities are in line. #NOT,irony,irony,0.6855151653289795,3.0,103.0,106.0,irony
Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks,no irony,no irony,0.4380066394805908,3.0,113.0,116.0,no irony
You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not 😒💤,irony,irony,0.4511682987213135,3.0,112.0,115.0,irony
@user No sugar during christmas time? :(,no irony,no irony,0.6360056400299072,3.0,97.0,100.0,no irony
Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not,irony,irony,0.5777430534362793,3.0,107.0,110.0,irony
@user 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony,irony,irony,0.5189516544342041,3.0,126.0,129.0,irony
the ONLY time a crime becomes a federal crime @user @user @user @user @user @user,no irony,no irony,0.6626434326171875,3.0,109.0,112.0,no irony
this music is for the people and not for the money. peace and love. #KINGLIFE,no irony,no irony,0.47437357902526855,3.0,108.0,111.0,no irony
Rangers league game with Alloa moved because of the Petrofac Cup final in April... #irony,irony,irony,0.4756777286529541,3.0,108.0,111.0,irony
How to Find a Life Coach (& the questions you need to ask before hiring one) via> @user,no irony,no irony,0.5169477462768555,3.0,109.0,112.0,no irony
I wonder what was the holiday rituals for true Africans,no irony,no irony,0.7071139812469482,3.0,98.0,101.0,no irony
Been at the ER now since 10... #yay #not,irony,irony,0.4895658493041992,3.0,101.0,104.0,irony
@user Suhs been clean for 2 years and has only been in the league for five don't act like he was dirty for 10 years#not biased my ass,no irony,irony,0.6170895099639893,3.0,122.0,125.0,irony
"@user @user thank you studs for perfecting and teaching my bench, respectively. Props on form from lifters in AL. #DYEL",no irony,no irony,0.5500228404998779,3.0,117.0,120.0,no irony
Haley approves of her new hammock 🐭 #ratsofinstagram,no irony,no irony,0.6258740425109863,3.0,103.0,106.0,no irony
"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm",irony,irony,0.5609159469604492,3.0,121.0,124.0,irony
"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout",no irony,irony,0.5771529674530029,3.0,126.0,129.0,irony
Free Pets and Animals Books #freebiebookdownload #Pets,no irony,no irony,0.6439423561096191,3.0,100.0,103.0,no irony
@user There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.,no irony,no irony,0.6289901733398438,3.0,115.0,118.0,no irony
Loooovvveeeeeee when my phone gets wiped -.- #not,irony,irony,0.5926718711853027,3.0,104.0,107.0,irony
Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony,irony,irony,0.4960768222808838,3.0,113.0,116.0,irony
