text,ENTREGA,OUTROS,PRODUTO,CONDICOES DE RECEBIMENTO,ANUNCIO,response_time,vram_usage,ram_usage,total_time,ENTREGA pred,OUTROS pred,PRODUTO pred,CONDICOES DE RECEBIMENTO pred,ANUNCIO pred
"ESSE PRODUTO PODE ATÉ SER BOM, PORÉM, A AMERICANAS JÁ NÃO ME INSPIRA MUITA CONFIANÇA. NÃO PELA AMERICANAS EM SI, POIS SEMPRE FORA UMA EMPRESA SÉRIA. A ÚLTIMA COMPRA QUE EFETUEI, A AMERICANAS COLOCOU AOS CUIDADOS DA ""DIRECT"". ME CAUSARAM MUITOS PROBLEMAS PARA ENTREGAR O PRODUTO, QUE NA OCASIÃO ERA UM CELULAR. PRECISEI ACIONAR O RECLAME AQUI PARA ME AJUDAR.... NÃO FOI FÁCIL!!!!! GOSTARIA DE COMPRAR ESSE PRODUTO : Kit Com 10 Cuecas Boxer de Cotton 4.0 - Polo Match....., PORÉM NÃO SEI SE TEREI PROBLEMAS NOVAMENTE. COMPLICADO!!",1,1,0,0,0,7.067431211471558,4558,95.9453125,5.0221245,0,1,0,1,1
Recomendo!Os aparelhos da motorola são muito bons!!!,0,0,1,0,0,2.138930320739746,4545,96.515625,0.0845279,0,1,0,0,0
"Eu ameiii o produto, pena que veio com  o espelho quebrado.",0,0,1,1,0,2.4464564323425293,4595,96.52734375,0.4142251,0,1,0,1,0
bom....................................................................................................................................,0,0,1,0,0,2.1700549125671387,4580,97.1875,0.1226472,0,1,0,0,0
Quero saber quando chegará mais pois gostaria de comprar,0,1,0,0,0,2.411661386489868,4530,97.45703125,0.3653088,0,1,0,1,0
muito lindas confortável leves lindas amei muito super recomendo.,0,0,1,0,0,2.368614673614502,4530,97.66015625,0.3242315,0,1,0,1,0
"Bom dia! Não me mandaram esse produto que escolhi, mandaram outro completamente diferente. Inclusive já devolvi, estou esperando a loja receber para fazer o estorno do cartão, me mandaram uma mercadoria completamente diferente da que escolhi.",0,1,0,1,0,2.361557960510254,4530,97.66796875,0.3227131,0,1,0,1,1
"Comprei banquetas pelo site da loja e achei excelente todo o procedimento, desde a compra até a entrega.  To das as etapas foram informadas e chegou bem rápido. Gostei muito.",1,1,1,0,0,2.4189746379852295,4530,97.68359375,0.3966603,0,1,0,1,1
"Gostei muito, agora se é bom, isso vou dizer de acordo o uso,mais me parece de boa qualidade..",0,0,1,0,0,2.2816591262817383,4530,96.56640625,0.228463,0,1,0,0,0
Muito boa  Super recomendado. A entrega foi super rápido.,1,0,1,0,0,2.5161805152893066,4530,96.56640625,0.4593766,0,0,0,1,1
Excelente produto podem confiar  Entrega rápida sem nenhum problema,1,0,1,0,0,2.348038911819458,4530,97.07421875,0.2971231,0,0,0,1,0
"Escrevi 100%, mas este avaliador quer que façamos uma dissertação, o que não tenho tempo, então não mais avaliarei nada.",0,1,1,0,0,2.1980903148651123,4555,96.8046875,0.1429316,0,1,0,1,0
"É ótimo para iniciar as crianças no mundo das letras. Como profissional da educação, eu inicialmente prefiro livros com letra bastão. Minha filha achou o livro muito lindo......Nota 10.",0,0,1,0,0,2.468646764755249,4618,96.28515625,0.4346054,0,1,0,1,0
"toalhas muito bonitas, macias , e o melhor enxuga muito bem, comprei um kit para experimentar e depois comprei mais 03 kits, 100%",0,0,1,0,0,2.339785099029541,4625,96.78515625,0.3001231,0,0,0,1,0
"Gostaria de saber se e 3 ou 5 peças? Pois queria finalizar ,mais nao quero finalizar com a dúvida. Obg",0,1,0,0,0,2.248507499694824,4600,96.3046875,0.2008385,0,1,0,0,0
"Bom produto, gostei Sò que a manga é muito grande eu vou tem que levar na costura para fechar um pouco do tamanho",0,0,1,0,0,2.446462869644165,4594,96.3671875,0.4009863,0,1,0,1,0
"Enquanto as americanas continuarem usando os correios, estara dificil. 40 dias e nada do produto chegar",1,1,0,0,0,2.2934446334838867,4591,96.859375,0.2532647,0,1,0,1,0
"Demorou demais a entregar, então cancelei e comprei na loja física, parece até q estava vindo da China e parou em Curitiba",1,0,0,0,0,2.456974744796753,4582,96.55078125,0.4123814,0,1,0,1,0
Hoje apareceu uma listra na tela nem queria destravar a senha,0,0,1,0,0,2.252906560897827,4593,97.1640625,0.2018349,0,1,0,0,0
o produto é muito bom.... tem um rendimento excelente,0,0,1,0,0,2.3420097827911377,4592,96.609375,0.2896248,0,0,0,1,0
Eu recomendo para os meus amigos inclusive Já fiz vários comentários sobre o produto eu gostei muito,0,0,1,0,0,2.3592214584350586,4589,97.04296875,0.3202557,0,1,0,0,0
Produto do bom entrega rápida ainda em avaliação mais acho que supera o que eu esperava.,1,0,1,0,0,2.326842784881592,4613,97.05859375,0.2854862,0,1,0,1,0
"Produto ótimo, porém a entrega foi péssima tive de ir buscar na trasportadora",1,0,1,0,0,2.351046085357666,4625,97.55859375,0.3201503,0,1,0,1,0
São de ouro esses copos? Olha o preço está muito caro,0,0,1,0,0,2.3216614723205566,4619,97.5625,0.2735587,0,1,0,1,0
"A TV é ótima, meu marido joga com o Xbox e adorou a imagem, porém, o controle está com problemas, mas vezes não funciona e as vezes funciona sozinho, fica abrindo os menus da TV. Nós vamos procurar a assistência aqui na cidade para comprar um novo, o trabalho e a demora inviabilizam pedir a troca.",0,1,1,1,0,2.3899283409118652,4620,97.6015625,0.3511663,0,1,0,1,0
"A borracha estourou quando fui usar o forno,estou tentando entrar em contato e não consigo.ja deixei um e mail pra vcs mais até agora não me retornaram",0,1,1,0,0,2.304001569747925,4611,97.60546875,0.2654141,0,1,0,1,0
A região do auto-falante aquece muito a ponto de incomodar mesmo em conversas breves. A LG precisa resolver este problema!,0,0,1,0,0,2.3842267990112305,4619,97.60546875,0.333983,0,1,0,1,0
Não gostei do produto.  Não tem a mesma medida do j7,0,0,1,0,1,2.3224849700927734,4631,96.71875,0.2752735,0,1,0,1,0
"A regulagem de temperatura não funciona, o técnico autorizado veio ver , vai pedir a peça .",0,0,0,1,0,2.388235092163086,4628,96.74609375,0.3431537,0,1,0,1,0
"Na verdade a minha avaliação é para a empresa, pq é claro e notório que a descrição da cadeira é um caramelo ou marron !!!!! por aí. Eles enviaram uma cadeira cor chumbo e ou cinza (nem sei descriminar a cor) Não vou reclamar da demora da entrega pq eles dizem 58 dias, comprei em 22/03/18 e entregaram no dia 14/05/2018. Não respondem ao e-mail do comprador.  Insatisfeita.",1,1,0,0,1,2.3745787143707275,4630,96.8984375,0.3313259,0,1,0,1,1
"Comprei o produto pois de acordo com a descrição, o alcance era de 50 metros. Entretanto, o produto que me foi entregue tem alcance máximo de 20 metros. Quero devolver o produto e receber meu dinheiro de volta mas até agora não consegui ser atendida.",0,1,0,1,1,2.416074275970459,4631,96.8984375,0.3690269,0,1,0,1,1
expectativa maior do que o produto oferece. Área de aplicação muito pequena para a finalidade de limpar janelas de vidro.,0,0,1,0,0,2.317689895629883,4631,96.421875,0.2641019,0,1,0,1,0
"Indico o produto, e aconselho ao fabricante um material mais resistente, as tiras laterais arrebentam com muita facilidade. Uma idéia tão boa, produzida com material de baixa qualidade, acho que poderia ser melhor.",0,0,1,0,0,2.447627305984497,4632,96.9140625,0.3928161,0,1,0,1,0
Esse foi o mais caro   Chegou ok   Quando fui estalar o cano do reservatório é muito maior e não cabe a mangueira    ! Não cabe a manguerinha de cima  fizeram maior que o original,0,0,1,1,0,2.4046289920806885,4638,96.30859375,0.3535545,0,1,0,1,0
"Precisei de um montador para montar este ventilador e mesmo sendo um profissional ele também teve dificuldades. A montagem não é simples.  Era bem silencioso no início, mas já nas primeiras semanas de uso começou a fazer um barulho que incomoda.  As três velocidades também não são muito superiores uma da outra.  Agora que o tempo está mais frio estou utilizando na potência mínima. No verão é que vou poder conferir a qualidade do produto.",0,0,1,0,0,2.4029855728149414,4617,96.3984375,0.3543641,0,1,0,1,0
"Produto dentro do esperado, mas não apresenta uma qualidade de imagem boa se não estiver exatamente de frente para a tela.",0,0,1,0,0,2.2258036136627197,4631,96.8984375,0.1812043,0,1,0,0,0
"Péssima aquisição. Comprei pra ser um quebra galho mesmo, mas nunca imaginei que seria tão ruim. A impressora, de fato, é fácil de configurar. Porém, a tinta acabou em 1 semana. Não imprimi nem 50 folhas.",0,0,1,0,0,2.3727359771728516,4634,96.52734375,0.3364492,0,1,0,1,1
"Celular é bom, realmente. Dei de presente, mas o pouco que tive contato é bem atraente o visual e a interface dele. Problema que você tem, é perante a película, pois a tela dele é curvada e a dificuldade de achar capinhas, pelo menos aqui na minha cidade. Foi entregue em uma semana, considerável. Mas a transportadora poderia ter forrado a caixa, pois ele veio dentro de uma caixa muito maior, assim ficava batendo. E caso esteja em dúvida sobre  a caixa de presente oferecida, não compensa comprar ela, muito cara para algo tão simples.",1,0,1,1,0,2.4295692443847656,4636,96.34765625,0.3888149,0,1,0,1,1
"ADOREI TDO NESSA TV EXCELENTE...MEUS FILHOS AMOU,MTO FACEIO DE MEXER SUPER RECOMENDO...PRETENDO COMPRAR OUTRA",0,0,1,0,0,2.281240463256836,4637,96.78515625,0.2289489,0,1,0,0,0
"Atendimento dentro do esperado, com produto de qualidade da marca LUPO.",0,1,1,0,0,2.4676685333251953,4626,96.375,0.4171352,0,0,0,1,0
"Ainda não recebi o produto!!! Estou aguardando com 39 semanas de gestação, com todas as roupas do meu filho fora do armário porque o prazo dado não foi cumprido e até hoje não me passaram a data que iremos receber os itens!!! Totalmente decepcionada!",1,0,0,0,0,2.3926968574523926,4648,96.375,0.3656117,0,1,0,1,1
"PÉSSIMO ATENDIMENTO, DESCASO TOTAL COM O CONSUMIDOR. 11 DIAS DE ATRASO!",1,1,0,0,0,2.386890172958374,4633,96.6875,0.3516077,0,1,0,1,0
"AINDA NÃO RECEBI, ENTÃO NÃO POSSO AVALIAR. AINDA NÃO RECEBI, ENTÃO NÃO POSSO AVALIAR.",1,0,0,0,0,2.2510056495666504,4636,96.69140625,0.2013038,0,1,0,0,0
"PARA SE FAZER A AVALIAÇÃO CORRETA DO PRODUTO, É PRECISO MAIS ALGUNS DIAS DE USO, QUANDO ELE DEVERÁ DAR RESULTADOS POSITIVOS.",0,0,1,0,0,2.2915468215942383,4632,96.74609375,0.2489402,0,1,0,1,0
"O PRODUTO PARECE IGUAL, MAS NÃO VEM NA CAIXA ORIGINAL DA Flashlimp",0,0,0,1,0,2.3245880603790283,4647,97.05859375,0.2736436,0,0,0,1,0
"Recomendaria o produto se vocês me entregassem, há um mês atrás fiz a compra e até agora o status no rastreio é que o notebook não chegou a unidade dos Correios. Decepcionada com a Americanas e o seu descaso ao atendimento ao cliente.",1,1,0,0,0,2.375178337097168,4652,97.59375,0.3241896,0,1,0,1,1
"GOSTEI MUITO DO CELULAR,  DE FÁCIL MANOSEIO ,TAMANHO IDEAL LEVE E BONITO, GOSTEI.",0,0,1,0,0,2.251408815383911,4649,97.59375,0.1962104,0,1,0,0,0
"EU JÁ TIVE CELULARES DA SAMSUNG, E RECOMENDO O PRODUTO.",0,0,1,0,0,2.385399341583252,4637,97.61328125,0.3291273,0,1,0,0,0
"Produto top, imagem frontal excelente de acordo os MB do equipamento , preço acessível, com a entrega tudo ok super rápida...",1,0,1,0,0,2.3547425270080566,4637,97.61328125,0.310614,0,1,0,1,0
"O produto é muito bonito, fino, ótima bateria, porém na maioria do tempo é MUITO lento. Funções simples como abrir as ""notas alto adesivas"", carregar um ""navegador"" qualquer, carregar uma nova aba ou até mesmo abrir o word ou é feito com muita dificuldade causando aborrecimentos e atrasando eventuais trabalhos.",0,0,1,0,0,2.335303783416748,4636,97.625,0.3000292,0,1,0,1,0
"Olá, estou decepcionada com a minha mercadoria, recebi a cuba amassada e a válvula quebrada, acredito que culpa dos correios, mas preciso que pelo menos a válvula me mandem novamente, pois não tenho como usar a cuba sem ela. No aguardo Josiani",0,1,0,1,0,2.363301992416382,4637,97.625,0.3180178,0,1,0,1,0
"Eu tenho interesse em comprar o produto, mas gostaria de saber primeiro a seguinte informação: para que lado a porta desse refrigerador abre?",0,1,0,0,0,2.2332217693328857,4642,97.65625,0.1817879,0,1,0,0,0
Nunca imaginei q viveria para ver isso um copo de plástico com esse preço.....,0,0,1,0,0,2.3396615982055664,4626,97.65625,0.3096783,0,1,0,0,1
"Engraçado comprei este kit ja estava esperando a entrega porém foi cancelado segundo a lojas Americanas eles não vão mas fz entregas deste produto,mas estranho né que ainda continuam a vender será que foi devido ao preço que estava o kit por $89.00 e agora aumentaram o preço a única informação que tive que vai devolver o meu dinheiro mas estão aí vendendo",1,1,0,0,0,2.415112257003784,4626,97.69921875,0.3614121,0,1,0,1,1
