text,label,prediction,response_time,vram_usage,ram_usage,total_time
"Dogged Federer claims Dubai crown World number one Roger Federer added the Dubai Championship trophy to his long list of successes - but not before he was given a test by Ivan Ljubicic. Top seed Federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. But Ljubicic, who beat Tim Henman in the last eight, dug deep to secure the second set after a tense tiebreak. Swiss star Federer was not about to lose his cool, though, turning on the style to win the deciding set 6-3. The match was a re-run of last week's final at the World Indoor Tournament in Rotterdam, where Federer triumphed, but not until Ljubicic had stretched him all the way. ""I really wanted to get off to a good start this time, and I did, and I could really play with confidence while he still looking for his rhythm,"" Federer said. ""That took me all the way through to 6-1 3-1 0-30 on his serve and I almost ran away with it. But he came back, and that was a good effort on his side."" Ljubicic was at a loss to explain his poor showing in the first set. ""I didn't start badly, but then suddenly I felt like my racket was loose and the balls were flying a little bit too much. And with Roger, if you relax for a second it just goes very quick,"" he said. ""After those first three games it was no match at all. I don't know, it was really weird. I was playing really well the whole year, and then suddenly I found myself in trouble just to put the ball in the court."" But despite his defeat, the world number 14 was pleased with his overall performance. ""I had a chance in the third, and for me it's really positive to twice in two weeks have a chance against Roger to win the match. ""It's an absolutely great boost to my confidence that I'm up there and belong with top-class players.""",sport,sport,10.770058870315552,5242,120.453125,8.7204788
"UK troops on Ivory Coast standby Downing Street has confirmed British troops are on standby in case they need to help evacuate several hundred UK citizens from Ivory Coast. The news came as it emerged France had begun evacuating its hostages after days of anti-French demonstrations. Trouble flared after nine French peacekeepers were killed and President Jacques Chirac ordered the destruction of the Ivory Coast's air force. A company of 100-120 UK troops is understood to have been put on standby. They are ready to fly out and secure the route from the embassy to the airport if called upon. Prime Minister Tony Blair's official spokesman said: ""There are British nationals in Ivory Coast and as you can imagine we are making the usual contingency plans in case the situation deteriorates further, but that's all I can say at this stage."" He added the situation would be monitored carefully in case evacuation became necessary. France has played a lead role in international peacekeeping in Ivory Coast - a former colony - after President Laurent Gbagbo broke an 18-month ceasefire with rebels bombing their positions and killing the nine French soldiers. The decision to destroy the African nation's small air force prompted riots against French and other foreign nationals. The Spanish have already put their forces on standby to evacuate their nationals if necessary.",politics,politics,2.3384828567504883,5236,124.7265625,0.2839142
"Keanu Reeves given Hollywood star Actor Keanu Reeves, best known for his role in the Matrix movies, has been awarded a star on the prestigious Hollywood Walk of Fame. The 40-year-old attended the unveiling of the star with his mother, Patricia, and thanked her for inspiring him to become an actor. ""When I was 15 years old I asked my mom if it was OK to be an actor,"" Reeves said. ""She said: 'Whatever you want'."" His star is the 2,277th to be embedded in the pavement on Hollywood Boulevard. The actor, who was born in the Lebanese capital Beirut, also spoke of how he dropped out of school to pursue an acting career. ""Hollywood was calling,"" he said, ""So I got in my car, a 1969 British racing green Volvo with holes in the floor and bricks holding up the seats. I was a young man full of hopes and dreams."" Reeves first found fame in the teen comedy Bill and Ted's Excellent Adventure, and went on to combine such blockbusters as Speed, The Devil's Advocate and the Matrix series, with smaller films including My Own Private Idaho. More recently he was seen in Something's Gotta Give alongside Jack Nicholson and Diane Keaton. His next film, the supernatural thriller Constantine, is released in the US later this month and opens in the UK in March.",entertainment,entertainment,2.378965377807617,5238,125.78515625,0.3394771
"Classy Henman makes winning start Tim Henman opened his 2005 campaign with a 6-1 7-5 victory over Argentine David Nalbandian at the Kooyong Classic exhibition tournament on Wednesday. The British number one will next play Roger Federer at the Australian Open warm-up event on Friday. The world number one beat Gaston Gaudio 5-7 6-1 6-4, before Andre Agassi saw off Chilean Olympic gold medalist Nicolas Massu 6-1 7-6 (7-4). Andy Roddick beat Ivan Ljubicic, who replaced Paradorn Srichaphan, 6-1 6-4. Henman made an impressive start to the year, only faltering against Nalbandian when serving for the match at 5-4. But the Briton regained his composure to win the next two games for only his second win in six matches against the Argentine. ""It's a great start to the year - just what I was looking for,"" Henman told his website. ""Over the years I've found David very difficult to play against. ""He returns serve very well and he's deceptively effective from the baseline, so sometimes it can be difficult to execute my gameplan well enough against him to get the right result. ""Beating somebody of his stature is always good for the confidence and it bodes well at the beginning of the year."" Henman also revealed the extent of the back problems he suffered in the off-season. ""I'm not the most flexible and at the end of the year I was pretty exhausted and wanted to have a couple of weeks where I didn't do anything,"" said Henman. ""When I started training again it really, really seized up. As much as I enjoyed the two weeks off I don't think it's so productive."" Federer dropped a tight first set against 2004 French Open champion Gaudio, but was content with his game. ""It was about getting used to the surface,"" he said. ""The conditions are much quicker than Doha, my timing was OK, but I could have served better. ""All in all I'm happy with the match, and I won it - that's a good sign. Now I have a day off and hopefully play better the next match."" Agassi was delighted with victory over Massu in his first match for over two months. ""I felt pretty good,"" said the American. ""I liked the way the match played out and, maybe excluding a few second serve returns, I felt like I was doing most things pretty darn well for the first match.""",sport,sport,2.43896484375,5231,125.8671875,0.3918502
"Mixed reaction to Man Utd offer Shares in Manchester United were up over 5% by noon on Monday following a new offer from Malcolm Glazer. The board of Man Utd is expected to meet early this week to discuss the latest proposal from the US tycoon that values the club at £800m ($1.5bn). Manchester United revealed on Sunday that it had received a detailed proposal from Mr Glazer. A senior source at the club told the BBC: ""This time it's different"". The board is obliged to consider this deal. But the Man Utd supporters club urged the club to reject the new deal. Manchester United past and present footballers Eric Cantona and Ole Gunnar Solskjaer, and club manager Sir Alex Ferguson, have lent their backing to the supporters' group, Shareholders United. They have all spoken out against the bid. A spokesman for the supporters club said: ""I can't see any difference (compared to Mr Glazer's previous proposals) other than £200m less debt. ""He isn't bringing any money into the club; he'll use our money to buy it."" Mr Glazer's latest move is being led by Mr Glazer's two sons, Avi and Joel, according to the Financial Times. A proposal was received by David Gill, United's chief executive, at the end of last week, pitched at about 300p a share. David Cummings, head of UK equities for Standard Life Investments, said he believed a ""well funded"" 300p a share bid would be enough for Mr Glazer to take control of the club. ""I do not think there is anything that Manchester United fans can do about it,"" he told the BBC. ""They can complain about it but it is curtains for them. They may not want him but they are going to get him."" The US tycoon, who has been wooing the club for the last 12 months, has approached the United board with ""detailed proposals"", it has confirmed. Mr Glazer, who owns the Tampa Bay Buccaneers team, hopes this will lead to a formal bid being accepted. He is believed to have increased the amount of equity in the new proposal, though it is not clear by how much. For his proposal to succeed, he needs the support of United's largest shareholders, the Irish horseracing tycoons JP McManus and John Magnier. They own 29% of United through their Cubic Expression investment vehicle. Mr Glazer and his family hold a stake of 28.1%. But it is not yet known whether Mr McManus and Mr Magnier would support a Glazer bid. NM Rothschild, the investment bank, is advising Mr Glazer, according to the Financial Times. His previous adviser, JPMorgan, quit last year when Mr Glazer went ahead and voted against the appointment of three United directors to the board, against its advice. But the FT said it thought JP Morgan may still have had some role in financing Mr Glazer's latest financial proposal.",business,business,2.4927215576171875,5229,125.96484375,0.4388979
"Italy aim to rattle England Italy coach John Kirwan believes his side can upset England as the Six Nations wooden spoon battle hots up. The two sides, both without a win, meet on 12 March at Twickenham and Kirwan says his side will be hoping to make the most of England's current slump. ""We have to make sure the England and France games are tough for them. ""England have not been having the best of championships. That is a big one for us and them and I am sure my players will rise to the occasion,"" he said. But Kirwan admits that a lot of hard work will be needed with his kickers before the trip to London. Roland de Marigny and Luciano Orquera had a miserable time with the boot in the dire defeat to Scotland as Chris Paterson stole the show to give the hosts a much-needed 18-10 victory. Kirwan said: ""The kicking was the decisive factor in Scotland which cost us and it could go down to the kicking again next time. ""But I have a lot of confidence in my players and I am positive we can put everything together against England."" England, meanwhile, are licking their wounds and rueing what might have been had two decisions from referee Jonathan Kaplan not gone against them in the second half in Dublin. First Mark Cueto was judged offside as he chased fly-half Charlie Hodgson's kick, and then Kaplan opted not to call upon video evidence to see if Josh Lewsey had touched down after being driven over Ireland's line. But centre Jamie Noon believes the side at least showed better form than their previous two defeats. ""We definitely improved against an in-form Irish side,"" he said. ""We went to Dublin quietly confident that we would be able to compete, and I think we showed that. ""We have got to make sure we now take the form and positives into the Italy game. We are under no illusions that it is going to be easy, but we definitely need a win."" England have now equalled an 18-year low of four successive championship defeats, including France in Paris last season, and have lost four in a row under Andy Robinson. His predecessor, Sir Clive Woodward, began his seven-year reign with three defeats and two draws.",sport,sport,2.4343137741088867,5230,126.03125,0.3770728
"Slim PlayStation triples sales Sony PlayStation 2's slimmer shape has proved popular with UK gamers, with 50,000 sold in its first week on sale. Sales have tripled since launch, outstripping Microsoft's Xbox, said market analysts Chart-Track. The numbers were also boosted by the release of the PS2-only game Grand Theft Auto: San Andreas. The title broke the UK sales record for video games in its first weekend of release. Latest figures suggest it has sold more than 677,000 copies. ""It is obviously very, very encouraging for Sony because Microsoft briefly outsold them last week,"" John Houlihan, editor of Computerandvideogames.com told BBC News. ""And with Halo 2 [for Xbox] out next week, it really is a head-to-head contest between them and Xbox."" Although Xbox sales over the last week also climbed, PS2 sales were more than double that. The figures mean Sony is reaching the seven million barrier for UK sales of the console. Edinburgh-based developer, Rockstar, which is behind the GTA titles, has seen San Andreas pull in an estimated £24m in gross revenues over the weekend. In comparison, blockbuster films like Harry Potter and The Prisoner Of Azkaban took £11.5m in its first three days at the UK box office. The Lord of the Rings: The Return of the King took nearly £10m over its opening weekend, although games titles are four to five times more expensive than cinema tickets. Gangster-themed GTA San Andreas is the sequel to Grand Theft Auto Vice City which previously held the record for the fastest-selling video game ever. The Xbox game Halo 2, released on 11 November in the UK, is also widely tipped to be one of the best-selling games of the year. The original title won universal acclaim in 2001, and sold more than four million copies. Mr Houlihan added that Sony had done well with the PS2, but it definitely helped that the release of San Andreas coincided with the slimline PS2 hitting the shelves. The run-up to Christmas is a huge battlefield for games consoles and titles. Microsoft's Xbox had been winning the race up until last week in sales. The sales figures also suggest that it may be a largely adult audience driving demand, since GTA San Andreas has an 18 certificate. Sony and Microsoft have both reduced console prices recently and are preparing the way for the launches of their next generation consoles in 2005. ""Both have hit crucial price points at around £100 and that really does open up new consoles to new audience, plus the release of two really important games in terms of development are also driving those sales,"" said Mr Houlihan.",tech,entertainment,2.4560704231262207,5228,126.16796875,0.4084254
"Dawson set for new Wasps contract European champions Wasps are set to offer Matt Dawson a new deal. The 31-year-old World Cup winning scrum-half has impressed since joining the London side from Northampton this summer on a one-year contract. Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so. ""I'm very happy with his contribution and I think he's good enough to play for another couple of years."" Dawson played a vital part in England's World Cup win last year but has fallen out of favour with new coach Andy Robinson after missing a training session in September. However he hopes the new deal will help him regain his England place. ""Rugby is still my priority and there's still a burning desire within me to play the best rugby I possibly can,"" he said. ""I know within myself, if I was given the chance I could play for England again. ""I know I'm fit enough, I'm strong enough, I'm skilful enough.""",sport,sport,2.331757068634033,5232,126.23828125,0.2831069
"TV debate urged for party chiefs Broadcasters should fix a date for a pre-election televised debate between the three main political leaders, according to the Hansard Society. It would then be up to Tony Blair, Michael Howard and Charles Kennedy to decide whether to take part, the non-partisan charity said. Chairman Lord Holme argued that prime ministers should not have the right of veto on a matter ""of public interest"". ""The broadcasters should make the decision to go ahead,"" he said. Lord Holme's proposal for a televised debate comes just four months after millions of viewers were able to watch US President George W Bush slug it out verbally with his Democratic challenger John Kerry. He said it was a ""democratically dubious proposition"" that it was up to the incumbent prime minister to decide whether a similar event takes place here. If Mr Blair did not want to take part, the broadcasters could go ahead with an empty chair or cancel the event and explain their reasons why, Lord Holme said. ""What makes the present situation even less acceptable is that although Mr Howard and Mr Kennedy have said they would welcome a debate, no-one has heard directly from the prime minister,"" he said. ""It has been left to nudges and winks, hints and briefings from his aides and campaign managers to imply that Mr Blair doesn't want one, but we haven't heard from the prime minister himself."" Lord Holme, who has campaigned for televised debates at previous elections, said broadcasters were ""more than willing to cooperate with the arrangements"". Opinion polls suggested that the idea had the backing of the public who like comparing the personalities and policies of the contenders in their own homes, he said. Lord Holme argued that as part of their public service obligations, broadcasters ""should make the decision to go ahead"" as soon as the election is called. An independent third-party body such as the Hansard Society or Electoral Commission could work out the ground rules so they were fair to participants and informative to the public, he said. ""It would be up to each party leader to accept or refuse,"" said Lord Holme. ""If the prime minister's reported position is true and he does want to take part, he would then be obliged to say why publicly. ""The broadcasters would then have the option of cancelling the event for obvious and well-understood reasons, or going ahead with an empty chair. ""Either way would be preferable to the present hidden veto."" The Hansard Society has long campaigned for televised debates and has published reports on the issue in 1997 and 2001. Tony Blair has already ruled out taking part in a televised debate during the forthcoming election campaign. Last month he said: ""We answer this every election campaign and, for the reasons I have given before, the answer is no,"" he said at his monthly news conference.""",politics,politics,2.4295737743377686,5235,113.03515625,0.3929796
"Gerrard plays down European hopes Steven Gerrard has admitted that Liverpool have little chance of winning the Champions League this season. The 24-year-old Reds skipper spoke out ahead of Tuesday's first leg at home to Bayer Leverkusen in the last 16, which he will miss through suspension. ""Let's be realistic, there are some fantastic teams left in the Champions League,"" he told BBC Radio Five Live. ""We are just going to try to stay in as long as possible but we realise that maybe it is not our year this year."" Gerrard has made no secret of his desire to be involved in Europe's premier club competition. Last season he described qualification for the Champions League as the ""be all and end all"" - and rumours persist that he will leave Anfield if the Reds fail to secure a place in the competition. He has consistently been linked with a move away from Liverpool, with Chelsea the favourites to snap up the England midfielder. And Blues boss Jose Mourinho backed Gerrard's view that Rafael Benitez's team could struggle to progress this season. ""Rafa has still time in front of him to build an even better team, maybe he's a little bit behind (right now),"" he told BBC Radio Five Live. Gerrard, who fired Liverpool into the last 16 of this season's competition with a brilliant goal in December's win over Olympiakos, insisted he was still fully focused on helping Liverpool to glory this season. The Reds are currently fifth in the Premiership table, five points off the crucial fourth spot, which brings Champions League qualification - and they face Chelsea in Sunday's Carling Cup final. ""It's big couple of months for Liverpool,"" he added. ""We're fighting for the fourth spot for the Champions League for next season but we are still involved in two cup competitions, which are very important. ""We are confident we can upset Chelsea in the Carling Cup final and get to the last eight of the Champions League because, financially, it is big for the club and, personally for myself, it is very good.""",sport,sport,2.3442575931549072,5229,113.05859375,0.2959766
