text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
FLAG: Fast Label-Adaptive Aggregation for Multi-label Classification in Federated Learning,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",1.1870851516723633,11.0,109.0,120.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Large-Margin Classification in Hyperbolic Space,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.1822724342346191,8.0,102.0,110.0,"['stat.ML', 'cs.LG']"
Student Specialization in Deep ReLU Networks With Finite Width and Input Dimension,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.7398889064788818,8.0,107.0,115.0,"['stat.ML', 'cs.LG']"
Joint Modelling of Emotion and Abusive Language Detection,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning
",1.2475717067718506,11.0,103.0,114.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Allocation of Excitation Signals for Generic Identifiability of Linear Dynamic Networks,0,0,0,1,0,"optimization and control
",1.1368250846862793,4.0,108.0,112.0,['math.OC']
Fidelity-Induced Interpretable Policy Extraction for Reinforcement Learning,1,0,1,0,0,"artificial intelligence, statistics machine learning, computational machine learning
",1.178520679473877,11.0,104.0,115.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Koopman Methods for Estimation of Animal Motions over Unknown Submanifolds,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.2794840335845947,8.0,107.0,115.0,"['stat.ML', 'cs.LG']"
Probabilistic Multilevel Clustering via Composite Transportation Distance,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.3177273273468018,8.0,103.0,111.0,"['stat.ML', 'cs.LG']"
Internet-Augmented Dialogue Generation,1,1,0,0,0,"computation and language, artificial intelligence
",1.409661054611206,7.0,100.0,107.0,"['cs.AI', 'cs.CL']"
Uncertainty in Fairness Assessment: Maintaining Stable Conclusions Despite Fluctuations,0,0,1,0,0,"statistics machine learning, artificial intelligence
",0.7235338687896729,7.0,105.0,112.0,"['cs.AI', 'stat.ML']"
Learning Implicit Generative Models with Theoretical Guarantees,0,0,1,0,1,"statistics machine learning, computational machine learning
",0.8460593223571777,8.0,103.0,111.0,"['stat.ML', 'cs.LG']"
"Granular-ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",1,0,1,0,0,"computational machine learning
",1.56117844581604,4.0,117.0,121.0,['cs.LG']
A general Markov decision process formalism for action-state entropy-regularized reward maximization,1,0,1,0,0,"- artificial intelligence
- statistics machine learning
- optimization and control
- computational machine learning
",0.9612963199615479,19.0,110.0,129.0,"['cs.AI', 'stat.ML', 'math.OC', 'cs.LG']"
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,0,0,1,0,1,"statistics machine learning, computational machine learning
",1.7328813076019287,8.0,108.0,116.0,"['stat.ML', 'cs.LG']"
Dependency-based Mixture Language Models,0,1,0,0,0,"computation and language
statistics machine learning
",1.8088994026184082,8.0,100.0,108.0,"['cs.CL', 'stat.ML']"
CloudScan - A configuration-free invoice analysis system using recurrent neural networks,0,1,0,0,0,"statistics machine learning, artificial intelligence, computational machine learning
",1.839158296585083,11.0,108.0,119.0,"['cs.AI', 'stat.ML', 'cs.LG']"
LMVE at SemEval-2020 Task 4: Commonsense Validation and Explanation using Pretraining Language Model,1,1,0,0,0,"computation and language
artificial intelligence
statistics machine learning
computational machine learning
",1.2379729747772217,15.0,118.0,133.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
AutoAI-TS: AutoAI for Time Series Forecasting,1,0,1,0,0,"- artificial intelligence
- statistics machine learning
- computational machine learning
",1.425673246383667,14.0,105.0,119.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Sampling in Constrained Domains with Orthogonal-Space Variational Gradient Descent,0,0,1,0,1,"computational machine learning, optimization and control
",5.228841066360474,8.0,108.0,116.0,"['math.OC', 'cs.LG']"
Cloud-Enabled Differentially Private Multi-Agent Optimization with Constraints,0,0,0,1,0,"optimization and control, computational machine learning
",2.336174964904785,8.0,106.0,114.0,"['math.OC', 'cs.LG']"
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning
",2.458089828491211,15.0,111.0,126.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
RuSentNE-2023: Evaluating Entity-Oriented Sentiment Analysis on Russian News Texts,0,1,0,0,0,"computation and language
",3.3507449626922607,4.0,113.0,117.0,['cs.CL']
GraphTSNE: A Visualization Technique for Graph-Structured Data,0,0,1,0,1,"- artificial intelligence
- statistics machine learning
- computational machine learning
",7.173845529556274,14.0,106.0,120.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Using Artificial French Data to Understand the Emergence of Gender Bias in Transformer Language Models,1,1,0,0,0,"computation and language, artificial intelligence, statistics machine learning
",1.2135097980499268,11.0,109.0,120.0,"['cs.AI', 'cs.CL', 'stat.ML']"
