text,ENTREGA,OUTROS,PRODUTO,CONDICOES DE RECEBIMENTO,ANUNCIO,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"ESSE PRODUTO PODE ATÉ SER BOM, PORÉM, A AMERICANAS JÁ NÃO ME INSPIRA MUITA CONFIANÇA. NÃO PELA AMERICANAS EM SI, POIS SEMPRE FORA UMA EMPRESA SÉRIA. A ÚLTIMA COMPRA QUE EFETUEI, A AMERICANAS COLOCOU AOS CUIDADOS DA ""DIRECT"". ME CAUSARAM MUITOS PROBLEMAS PARA ENTREGAR O PRODUTO, QUE NA OCASIÃO ERA UM CELULAR. PRECISEI ACIONAR O RECLAME AQUI PARA ME AJUDAR.... NÃO FOI FÁCIL!!!!! GOSTARIA DE COMPRAR ESSE PRODUTO : Kit Com 10 Cuecas Boxer de Cotton 4.0 - Polo Match....., PORÉM NÃO SEI SE TEREI PROBLEMAS NOVAMENTE. COMPLICADO!!",1,1,0,0,0,"produto, entrega
",0.9738554954528809,6.0,312.0,318.0,['ENTREGA']
Recomendo!Os aparelhos da motorola são muito bons!!!,0,0,1,0,0,"produto
",1.1847407817840576,3.0,147.0,150.0,[]
"Eu ameiii o produto, pena que veio com  o espelho quebrado.",0,0,1,1,0,"produto, condicoes de recebimento
",1.17415189743042,11.0,150.0,161.0,['CONDICOES DE RECEBIMENTO']
bom....................................................................................................................................,0,0,1,0,0,"produto
",0.6803524494171143,3.0,144.0,147.0,[]
Quero saber quando chegará mais pois gostaria de comprar,0,1,0,0,0,"entrega
",1.1864204406738281,3.0,145.0,148.0,['ENTREGA']
muito lindas confortável leves lindas amei muito super recomendo.,0,0,1,0,0,"produto
",1.1114881038665771,3.0,145.0,148.0,[]
"Bom dia! Não me mandaram esse produto que escolhi, mandaram outro completamente diferente. Inclusive já devolvi, estou esperando a loja receber para fazer o estorno do cartão, me mandaram uma mercadoria completamente diferente da que escolhi.",0,1,0,1,0,"produto, outros
",1.1147680282592773,6.0,184.0,190.0,['OUTROS']
"Comprei banquetas pelo site da loja e achei excelente todo o procedimento, desde a compra até a entrega.  To das as etapas foram informadas e chegou bem rápido. Gostei muito.",1,1,1,0,0,"entrega, produto
",1.1848130226135254,6.0,174.0,180.0,['ENTREGA']
"Gostei muito, agora se é bom, isso vou dizer de acordo o uso,mais me parece de boa qualidade..",0,0,1,0,0,"produto
",1.1119563579559326,3.0,158.0,161.0,[]
Muito boa  Super recomendado. A entrega foi super rápido.,1,0,1,0,0,"produto, entrega
",1.136836051940918,6.0,146.0,152.0,['ENTREGA']
Excelente produto podem confiar  Entrega rápida sem nenhum problema,1,0,1,0,0,"produto, entrega
",1.2143001556396484,6.0,144.0,150.0,['ENTREGA']
"Escrevi 100%, mas este avaliador quer que façamos uma dissertação, o que não tenho tempo, então não mais avaliarei nada.",0,1,1,0,0,"outros
",0.7956485748291016,3.0,169.0,172.0,['OUTROS']
"É ótimo para iniciar as crianças no mundo das letras. Como profissional da educação, eu inicialmente prefiro livros com letra bastão. Minha filha achou o livro muito lindo......Nota 10.",0,0,1,0,0,"produto
",3.5796868801116943,3.0,174.0,177.0,[]
"toalhas muito bonitas, macias , e o melhor enxuga muito bem, comprei um kit para experimentar e depois comprei mais 03 kits, 100%",0,0,1,0,0,"produto
",1.1722619533538818,3.0,171.0,174.0,[]
