text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
FLAG: Fast Label-Adaptive Aggregation for Multi-label Classification in Federated Learning,1,0,1,0,0,"artificial intelligence, computational machine learning, statistics machine learning",2.4644079208374023,11.0,124.0,135.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Large-Margin Classification in Hyperbolic Space,0,0,1,0,1,"optimization and control, computational machine learning",1.410897970199585,8.0,117.0,125.0,"['math.OC', 'cs.LG']"
Student Specialization in Deep ReLU Networks With Finite Width and Input Dimension,0,0,1,0,1,"artificial intelligence, computational machine learning, statistics machine learning",0.750438928604126,11.0,123.0,134.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Joint Modelling of Emotion and Abusive Language Detection,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning",0.7219352722167969,12.0,118.0,130.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Allocation of Excitation Signals for Generic Identifiability of Linear Dynamic Networks,0,0,0,1,0,optimization and control,0.7411956787109375,4.0,122.0,126.0,['math.OC']
Fidelity-Induced Interpretable Policy Extraction for Reinforcement Learning,1,0,1,0,0,"artificial intelligence, computation and language, computational machine learning",0.7031598091125488,12.0,120.0,132.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Koopman Methods for Estimation of Animal Motions over Unknown Submanifolds,0,0,1,0,1,"computational machine learning, statistics machine learning",0.7162563800811768,9.0,124.0,133.0,"['stat.ML', 'cs.LG']"
Probabilistic Multilevel Clustering via Composite Transportation Distance,0,0,1,0,1,"statistics machine learning, computational machine learning",0.6483325958251953,8.0,119.0,127.0,"['stat.ML', 'cs.LG']"
Internet-Augmented Dialogue Generation,1,1,0,0,0,"artificial intelligence, computation and language, computational machine learning",0.7853336334228516,12.0,113.0,125.0,"['cs.AI', 'cs.CL', 'cs.LG']"
Uncertainty in Fairness Assessment: Maintaining Stable Conclusions Despite Fluctuations,0,0,1,0,0,"artificial intelligence, statistics machine learning",0.6997559070587158,7.0,123.0,130.0,"['cs.AI', 'stat.ML']"
Learning Implicit Generative Models with Theoretical Guarantees,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.7599153518676758,11.0,119.0,130.0,"['cs.AI', 'stat.ML', 'cs.LG']"
"Granular-ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",1,0,1,0,0,"optimization and control, computational machine learning",0.6960430145263672,8.0,130.0,138.0,"['math.OC', 'cs.LG']"
A general Markov decision process formalism for action-state entropy-regularized reward maximization,1,0,1,0,0,"optimization and control, computational machine learning",0.6916530132293701,8.0,126.0,134.0,"['math.OC', 'cs.LG']"
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,0,0,1,0,1,"artificial intelligence, statistics machine learning, computational machine learning",0.6569130420684814,11.0,123.0,134.0,"['cs.AI', 'stat.ML', 'cs.LG']"
Dependency-based Mixture Language Models,0,1,0,0,0,"computation and language, statistics machine learning",0.8581080436706543,9.0,114.0,123.0,"['cs.CL', 'stat.ML']"
CloudScan - A configuration-free invoice analysis system using recurrent neural networks,0,1,0,0,0,"artificial intelligence, computational machine learning",0.6136236190795898,7.0,121.0,128.0,"['cs.AI', 'cs.LG']"
LMVE at SemEval-2020 Task 4: Commonsense Validation and Explanation using Pretraining Language Model,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8241775035858154,12.0,130.0,142.0,"['cs.AI', 'cs.CL', 'stat.ML']"
AutoAI-TS: AutoAI for Time Series Forecasting,1,0,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.9072866439819336,16.0,120.0,136.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
Sampling in Constrained Domains with Orthogonal-Space Variational Gradient Descent,0,0,1,0,1,"optimization and control, computational machine learning",1.018218994140625,8.0,123.0,131.0,"['math.OC', 'cs.LG']"
Cloud-Enabled Differentially Private Multi-Agent Optimization with Constraints,0,0,0,1,0,"optimization and control, computational machine learning",0.7157778739929199,8.0,119.0,127.0,"['math.OC', 'cs.LG']"
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents,0,1,1,0,0,"artificial intelligence, computation and language, statistics machine learning, computational machine learning",0.7156331539154053,16.0,125.0,141.0,"['cs.AI', 'cs.CL', 'stat.ML', 'cs.LG']"
RuSentNE-2023: Evaluating Entity-Oriented Sentiment Analysis on Russian News Texts,0,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8643832206726074,12.0,128.0,140.0,"['cs.AI', 'cs.CL', 'stat.ML']"
GraphTSNE: A Visualization Technique for Graph-Structured Data,0,0,1,0,1,computational machine learning,0.7886886596679688,5.0,120.0,125.0,['cs.LG']
Using Artificial French Data to Understand the Emergence of Gender Bias in Transformer Language Models,1,1,0,0,0,"artificial intelligence, computation and language, statistics machine learning",0.8706629276275635,12.0,124.0,136.0,"['cs.AI', 'cs.CL', 'stat.ML']"
Optimal Low-Rank Dynamic Mode Decomposition,0,0,0,0,1,optimization and control,0.6636996269226074,4.0,116.0,120.0,['math.OC']
