text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
im feeling rather rotten so im not very ambitious right now,sadness,sadness,1.274460792541504,3.0,107.0,110.0,sadness
im updating my blog because i feel shitty,sadness,sadness,0.7027263641357422,3.0,104.0,107.0,sadness
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,0.5735533237457275,2.0,118.0,120.0,love
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,0.5002586841583252,2.0,118.0,120.0,joy
i was feeling a little vain when i did this one,sadness,sadness,0.5575189590454102,3.0,107.0,110.0,sadness
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,sadness,0.5092461109161377,3.0,109.0,112.0,sadness
i felt anger when at the end of a telephone call,anger,anger,1.0360040664672852,2.0,107.0,109.0,anger
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,0.6304736137390137,3.0,139.0,142.0,sadness
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,0.3995857238769531,2.0,115.0,117.0,joy
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,sadness,2.969514846801758,3.0,132.0,135.0,sadness
i don t feel particularly agitated,fear,sadness,0.5470235347747803,3.0,103.0,106.0,sadness
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,joy,0.4910283088684082,2.0,120.0,122.0,joy
i pay attention it deepens into a feeling of being invaded and helpless,fear,sadness,0.5873186588287354,3.0,110.0,113.0,sadness
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,joy,0.48337364196777344,2.0,114.0,116.0,joy
i find myself in the odd position of feeling supportive of,love,joy,0.4873538017272949,2.0,107.0,109.0,joy
i was feeling as heartbroken as im sure katniss was,sadness,sadness,0.7443914413452148,3.0,109.0,112.0,sadness
i feel a little mellow today,joy,sadness,0.46372318267822266,3.0,102.0,105.0,sadness
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,sadness,0.5904073715209961,3.0,116.0,119.0,sadness
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,0.5701653957366943,2.0,124.0,126.0,anger
i feel like reds and purples are just so rich and kind of perfect,joy,joy,0.4792771339416504,2.0,111.0,113.0,joy
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,sadness,0.6274895668029785,3.0,138.0,141.0,sadness
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,joy,0.6166331768035889,2.0,125.0,127.0,joy
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,joy,0.47977137565612793,2.0,143.0,145.0,joy
