text,label,prediction,response_time,vram_usage,ram_usage,total_time
im feeling rather rotten so im not very ambitious right now,sadness,anger,3.949338912963867,4343,98.953125,1.9076509
im updating my blog because i feel shitty,sadness,anger,2.097400665283203,4346,99.56640625,0.049989
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,anger,2.2759718894958496,4436,99.578125,0.2439029
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,love,2.282831907272339,4432,100.109375,0.2414455
i was feeling a little vain when i did this one,sadness,love,2.305320978164673,4423,100.11328125,0.2689232
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,anger,2.241028070449829,4423,99.83984375,0.1938542
i felt anger when at the end of a telephone call,anger,anger,2.14235520362854,4423,99.87890625,0.098505
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,anger,2.29917573928833,4423,99.984375,0.2472906
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,love,2.123765230178833,4431,99.9921875,0.0911156
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,2.3429219722747803,4431,99.94921875,0.2919307
i don t feel particularly agitated,fear,anger,2.145254611968994,4427,100.10546875,0.1074991
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,love,2.333235263824463,4424,100.125,0.2801192
i pay attention it deepens into a feeling of being invaded and helpless,fear,anger,2.136645793914795,4425,100.69921875,0.091617
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,love,2.308136224746704,4425,100.734375,0.2649161
i find myself in the odd position of feeling supportive of,love,anger,2.118072032928467,4428,100.73828125,0.0782776
i was feeling as heartbroken as im sure katniss was,sadness,anger,2.338237762451172,4427,100.8359375,0.2902998
i feel a little mellow today,joy,love,2.1170759201049805,4420,100.8359375,0.0804336
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,anger,2.274507761001587,4404,100.8359375,0.2340104
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,2.2561943531036377,4427,100.98046875,0.2029047
i feel like reds and purples are just so rich and kind of perfect,joy,love,2.536618709564209,4451,100.984375,0.4967553
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,love,2.4501876831054688,4444,100.9921875,0.395438
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,love,2.270655870437622,4424,99.9140625,0.2284907
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,anger,2.292940616607666,4441,100.3671875,0.2447882
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,anger,2.314115285873413,4443,100.3671875,0.2627472
i don t feel guilty like i m not going to be able to cook for him,sadness,anger,2.1409759521484375,4439,100.859375,0.0910414
i hate it when i feel fearful for absolutely no reason,fear,anger,2.2740538120269775,4445,99.91015625,0.2284023
i am feeling outraged it shows everywhere,anger,anger,2.16654896736145,4448,100.3359375,0.1226341
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,anger,2.246767044067383,4457,100.34375,0.2092122
i do feel insecure sometimes but who doesnt,fear,love,2.3291990756988525,4454,100.91796875,0.2743588
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,joy,2.1439943313598633,4488,100.92578125,0.0960661
ive been missing him and feeling so restless at home thinking of him,fear,love,2.267354965209961,4490,100.9453125,0.2257601
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,sadness,2.3059473037719727,4475,100.9453125,0.2543105
i start to feel emotional,sadness,sadness,2.132314920425415,4434,100.9453125,0.0938444
i feel so cold a href http irish,anger,anger,2.2682430744171143,4438,99.8828125,0.2382903
i feel like i m defective or something for not having baby fever,sadness,anger,2.2516400814056396,4431,100.3359375,0.2011523
i feel more virtuous than when i eat veggies dipped in hummus,joy,love,2.146451473236084,4425,100.33984375,0.102171
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,joy,2.3133018016815186,4425,100.8671875,0.264276
i spent the last two weeks of school feeling miserable,sadness,sadness,2.250044107437134,4425,100.87109375,0.2021154
im feeling very peaceful about our wedding again now after having,joy,love,2.1468451023101807,4425,100.875,0.0989741
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,joy,2.313645362854004,4425,99.88671875,0.269025
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,anger,2.2952888011932373,4425,100.359375,0.2489938
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,love,2.1667213439941406,4422,100.3671875,0.1148817
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,love,2.306796073913574,4422,100.9453125,0.2587918
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,anger,2.0935702323913574,4422,100.95703125,0.0425293
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,joy,2.2404978275299072,4422,100.96875,0.2139979
im feeling really out of place and irritated,anger,anger,2.1461005210876465,4422,99.6171875,0.0967858
i also know that i feel nothing than a friendly affection to them too,joy,love,2.2948741912841797,4422,99.671875,0.2456869
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,joy,2.3346264362335205,4422,100.1640625,0.2851908
im feeling insecure at the moment,fear,sadness,2.1576480865478516,4422,100.1640625,0.1216231
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,joy,2.2849907875061035,4422,100.1640625,0.2565604
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,anger,2.315383195877075,4416,100.0390625,0.2669931
i feel a little nervous i go to the gym,fear,anger,2.1503331661224365,4416,100.11328125,0.0995456
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,anger,2.3398358821868896,4416,100.11328125,0.2927553
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,anger,2.249660015106201,4416,100.60546875,0.222207
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,joy,2.160317897796631,4416,99.51171875,0.1143321
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,anger,2.336634874343872,4416,100.109375,0.2843859
