text,label,prediction,response_time,vram_usage,ram_usage,total_time
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive,positive,4.319056510925293,5397,119.80078125,2.2760507
consistently clever and suspenseful .,positive,positive,2.141353130340576,5405,123.515625,0.0945394
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",positive,positive,2.296316623687744,5394,126.609375,0.2564418
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",positive,positive,2.2218313217163086,5389,126.75390625,0.1825784
"red dragon "" never cuts corners .",positive,negative,2.37524151802063,5381,126.84375,0.3259449
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive,positive,2.3045101165771484,5381,126.9453125,0.262894
throws in enough clever and unexpected twists to make the formula feel fresh .,positive,positive,2.24051833152771,5386,127.0078125,0.1928591
weighty and ponderous but every bit as filling as the treat of the title .,positive,positive,2.3673453330993652,5380,127.08984375,0.3314813
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",positive,positive,2.3082809448242188,5380,127.17578125,0.2495461
generates an enormous feeling of empathy for its characters .,positive,positive,2.2360293865203857,5380,126.84765625,0.1844277
exposing the ways we fool ourselves is one hour photo's real strength .,positive,positive,2.3787381649017334,5380,116.32421875,0.3480527
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",positive,negative,2.3018226623535156,5380,116.390625,0.252871
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",positive,positive,2.230520009994507,5380,116.4453125,0.1986536
. . . quite good at providing some good old fashioned spooks .,positive,positive,2.401150703430176,5380,116.50390625,0.3657151
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",positive,negative,2.3207497596740723,5380,116.5546875,0.2739715
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,positive,positive,2.214611768722534,5380,116.609375,0.1895316
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",positive,negative,2.39705753326416,5380,115.296875,0.3478692
