text,bug,docs,feature,question,won't fix,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Update CONTRIBUTING.md on bugfixes/features PRs,0,1,0,0,0,"docs
",1.1690447330474854,2.0,96.0,98.0,['docs']
How to print the metric (across all working trainer in DDP mode) into console after each epoch is end?,0,0,0,1,1,"question
",0.5106949806213379,2.0,107.0,109.0,['question']
Model loaded from checkpoint has bad accuracy ,0,0,0,1,0,"bug
",1.2741312980651855,2.0,92.0,94.0,['bug']
Add a robots.txt to stop Google from indexing Deprecated Versions of the Docs,0,1,0,0,0,"docs
",1.084700584411621,2.0,99.0,101.0,['docs']
Multi-processing with IterableDataset Warning ,0,1,0,0,0,"bug, question
",1.1039016246795654,4.0,92.0,96.0,"['bug', 'question']"
What is the correct way to set accumulate_grad_batches more than 1 and also a customized optimizer_step?,0,0,0,0,1,"question
",1.081618309020996,2.0,108.0,110.0,['question']
Logging validation metrics with `val_check_interval`,0,0,0,1,0,"feature, question
",1.289862871170044,4.0,95.0,99.0,"['feature', 'question']"
How do I pass metric to tensorboards hparam interface,0,0,0,1,0,"question, docs
",1.1081748008728027,4.0,95.0,99.0,"['question', 'docs']"
How to add a hidden state in test_step when dealing with sequential data?,0,0,0,1,0,"question
",1.1809687614440918,2.0,100.0,102.0,['question']
"RuntimeError: Tensor for 'out' is on CPU, Tensor for argument #1 'self' is on CPU, but expected them to be on GPU (while checking arguments for addmm)",0,0,0,1,0,"bug
",1.2160148620605469,2.0,122.0,124.0,['bug']
Most efficient way to log data to file within training/validation_step,0,0,0,1,1,"question
",1.101036548614502,2.0,98.0,100.0,['question']
How to gather predict on ddp,0,0,0,1,0,"question
",1.0873124599456787,2.0,91.0,93.0,['question']
How to get world_size and global_rank in custom LightningDataModule? ,0,0,0,1,0,"question
",1.0946078300476074,2.0,101.0,103.0,['question']
Best Practice: How to enhance already existing models with lightning?,0,0,0,1,0,"question, docs
",1.0835809707641602,4.0,96.0,100.0,"['question', 'docs']"
Typo correction in optimizers documentation,0,1,0,0,0,"docs
",1.1036396026611328,2.0,90.0,92.0,['docs']
Available value list of Accelerator.barrier's `name` argument,0,0,0,1,0,"feature, docs
",1.431863784790039,4.0,97.0,101.0,"['feature', 'docs']"
There doesn't seem to be a way to set requires_grad=True for parameters you don't want to update,0,0,0,1,1,"question
",1.138155221939087,2.0,109.0,111.0,['question']
Restore training states without create new version in lightning_logs?,0,0,0,1,0,"question
",1.0768601894378662,2.0,96.0,98.0,['question']
Errors in documentation generated from lightning.py,0,1,0,0,0,"docs, bug
",0.5692803859710693,4.0,92.0,96.0,"['bug', 'docs']"
OOM using EfficientNet B3,0,0,0,1,0,"bug
",1.1060521602630615,2.0,91.0,93.0,['bug']
How to we update the learning on every step?,0,0,0,1,0,"question
",1.2828197479248047,2.0,94.0,96.0,['question']
How to improve the displayed precision for loss in the progress bar.,0,0,0,1,0,"question
",1.5089328289031982,2.0,97.0,99.0,['question']
"[docs] use `versionadded`, `versionchanged` and `deprecated` directive",0,1,0,0,1,"docs
",1.1937487125396729,2.0,101.0,103.0,['docs']
