text,ENTREGA,OUTROS,PRODUTO,CONDICOES DE RECEBIMENTO,ANUNCIO,response_time,vram_usage,ram_usage,total_time,ENTREGA pred,OUTROS pred,PRODUTO pred,CONDICOES DE RECEBIMENTO pred,ANUNCIO pred
"ESSE PRODUTO PODE ATÉ SER BOM, PORÉM, A AMERICANAS JÁ NÃO ME INSPIRA MUITA CONFIANÇA. NÃO PELA AMERICANAS EM SI, POIS SEMPRE FORA UMA EMPRESA SÉRIA. A ÚLTIMA COMPRA QUE EFETUEI, A AMERICANAS COLOCOU AOS CUIDADOS DA ""DIRECT"". ME CAUSARAM MUITOS PROBLEMAS PARA ENTREGAR O PRODUTO, QUE NA OCASIÃO ERA UM CELULAR. PRECISEI ACIONAR O RECLAME AQUI PARA ME AJUDAR.... NÃO FOI FÁCIL!!!!! GOSTARIA DE COMPRAR ESSE PRODUTO : Kit Com 10 Cuecas Boxer de Cotton 4.0 - Polo Match....., PORÉM NÃO SEI SE TEREI PROBLEMAS NOVAMENTE. COMPLICADO!!",1,1,0,0,0,4.518613338470459,5495,120.01953125,2.4692526,1,0,0,0,0
Recomendo!Os aparelhos da motorola são muito bons!!!,0,0,1,0,0,2.19242525100708,5503,123.80859375,0.1544635,0,1,0,0,0
"Eu ameiii o produto, pena que veio com  o espelho quebrado.",0,0,1,1,0,2.4857499599456787,5445,126.47265625,0.4346444,0,0,0,1,0
bom....................................................................................................................................,0,0,1,0,0,2.2502334117889404,5440,126.58203125,0.2021956,0,0,0,0,0
Quero saber quando chegará mais pois gostaria de comprar,0,1,0,0,0,2.4407999515533447,5445,127.12890625,0.3891006,1,0,0,0,0
muito lindas confortável leves lindas amei muito super recomendo.,0,0,1,0,0,2.3055002689361572,5460,127.19140625,0.2513517,0,1,0,0,0
"Bom dia! Não me mandaram esse produto que escolhi, mandaram outro completamente diferente. Inclusive já devolvi, estou esperando a loja receber para fazer o estorno do cartão, me mandaram uma mercadoria completamente diferente da que escolhi.",0,1,0,1,0,2.4308571815490723,5460,127.26171875,0.3773304,1,1,0,0,0
"Comprei banquetas pelo site da loja e achei excelente todo o procedimento, desde a compra até a entrega.  To das as etapas foram informadas e chegou bem rápido. Gostei muito.",1,1,1,0,0,2.4171950817108154,5456,127.3125,0.3757358,1,1,0,0,0
"Gostei muito, agora se é bom, isso vou dizer de acordo o uso,mais me parece de boa qualidade..",0,0,1,0,0,2.31188702583313,5452,127.37109375,0.2728598,0,1,0,0,0
Muito boa  Super recomendado. A entrega foi super rápido.,1,0,1,0,0,2.3625152111053467,5452,127.0703125,0.3144512,1,0,0,0,0
Excelente produto podem confiar  Entrega rápida sem nenhum problema,1,0,1,0,0,2.3141748905181885,5452,115.69140625,0.2737406,1,0,0,0,0
"Escrevi 100%, mas este avaliador quer que façamos uma dissertação, o que não tenho tempo, então não mais avaliarei nada.",0,1,1,0,0,2.3427536487579346,5441,115.74609375,0.3136028,0,1,0,0,0
"É ótimo para iniciar as crianças no mundo das letras. Como profissional da educação, eu inicialmente prefiro livros com letra bastão. Minha filha achou o livro muito lindo......Nota 10.",0,0,1,0,0,2.4445393085479736,5463,115.8046875,0.3892619,0,1,0,0,0
"toalhas muito bonitas, macias , e o melhor enxuga muito bem, comprei um kit para experimentar e depois comprei mais 03 kits, 100%",0,0,1,0,0,2.3890206813812256,5456,115.921875,0.3335154,1,1,0,0,0
"Gostaria de saber se e 3 ou 5 peças? Pois queria finalizar ,mais nao quero finalizar com a dúvida. Obg",0,1,0,0,0,2.3528406620025635,5453,115.96875,0.3043707,0,1,0,0,0
"Bom produto, gostei Sò que a manga é muito grande eu vou tem que levar na costura para fechar um pouco do tamanho",0,0,1,0,0,2.374915599822998,5441,115.2890625,0.3383173,0,1,0,0,0
"Enquanto as americanas continuarem usando os correios, estara dificil. 40 dias e nada do produto chegar",1,1,0,0,0,2.432201862335205,5441,115.2890625,0.3971339,1,1,0,0,0
"Demorou demais a entregar, então cancelei e comprei na loja física, parece até q estava vindo da China e parou em Curitiba",1,0,0,0,0,2.4008233547210693,5441,115.2890625,0.3525796,1,1,0,0,0
Hoje apareceu uma listra na tela nem queria destravar a senha,0,0,1,0,0,2.304252862930298,5441,115.3359375,0.2669855,0,1,0,0,0
o produto é muito bom.... tem um rendimento excelente,0,0,1,0,0,2.4201419353485107,5441,115.33984375,0.3734053,0,1,0,0,0
Eu recomendo para os meus amigos inclusive Já fiz vários comentários sobre o produto eu gostei muito,0,0,1,0,0,2.353013277053833,5441,115.390625,0.3077894,0,1,0,0,0
Produto do bom entrega rápida ainda em avaliação mais acho que supera o que eu esperava.,1,0,1,0,0,2.453160524368286,5441,115.4375,0.4173548,1,0,0,0,0
"Produto ótimo, porém a entrega foi péssima tive de ir buscar na trasportadora",1,0,1,0,0,2.4089138507843018,5441,115.49609375,0.3598673,1,1,0,0,0
São de ouro esses copos? Olha o preço está muito caro,0,0,1,0,0,2.3494670391082764,5441,115.49609375,0.3178622,0,1,0,0,0
"A TV é ótima, meu marido joga com o Xbox e adorou a imagem, porém, o controle está com problemas, mas vezes não funciona e as vezes funciona sozinho, fica abrindo os menus da TV. Nós vamos procurar a assistência aqui na cidade para comprar um novo, o trabalho e a demora inviabilizam pedir a troca.",0,1,1,1,0,2.606095552444458,5437,115.49609375,0.5717863,0,1,0,1,0
"A borracha estourou quando fui usar o forno,estou tentando entrar em contato e não consigo.ja deixei um e mail pra vcs mais até agora não me retornaram",0,1,1,0,0,2.5122902393341064,5437,115.515625,0.4650145,0,1,0,1,0
A região do auto-falante aquece muito a ponto de incomodar mesmo em conversas breves. A LG precisa resolver este problema!,0,0,1,0,0,2.3551769256591797,5437,115.515625,0.3221722,0,1,0,0,0
Não gostei do produto.  Não tem a mesma medida do j7,0,0,1,0,1,2.473010778427124,5437,115.515625,0.4143057,0,1,0,0,0
"A regulagem de temperatura não funciona, o técnico autorizado veio ver , vai pedir a peça .",0,0,0,1,0,2.4222335815429688,5437,115.515625,0.3840755,0,1,0,0,0
"Na verdade a minha avaliação é para a empresa, pq é claro e notório que a descrição da cadeira é um caramelo ou marron !!!!! por aí. Eles enviaram uma cadeira cor chumbo e ou cinza (nem sei descriminar a cor) Não vou reclamar da demora da entrega pq eles dizem 58 dias, comprei em 22/03/18 e entregaram no dia 14/05/2018. Não respondem ao e-mail do comprador.  Insatisfeita.",1,1,0,0,1,2.5228137969970703,5437,115.5390625,0.4823366,0,1,0,1,0
"Comprei o produto pois de acordo com a descrição, o alcance era de 50 metros. Entretanto, o produto que me foi entregue tem alcance máximo de 20 metros. Quero devolver o produto e receber meu dinheiro de volta mas até agora não consegui ser atendida.",0,1,0,1,1,2.4494287967681885,5437,115.54296875,0.3990892,0,1,0,1,0
