text,bug,docs,feature,question,won't fix,response_time,vram_usage,ram_usage,total_time,bug pred,feature pred,question pred,won't fix pred,docs pred
Update CONTRIBUTING.md on bugfixes/features PRs,0,1,0,0,0,4.597250461578369,5547,119.76953125,2.5408857,0,1,0,0,1
How to print the metric (across all working trainer in DDP mode) into console after each epoch is end?,0,0,0,1,1,2.1383323669433594,5544,123.3984375,0.0949488,0,0,1,0,0
Model loaded from checkpoint has bad accuracy ,0,0,0,1,0,2.338641405105591,5540,126.3984375,0.2888112,1,0,0,0,0
Add a robots.txt to stop Google from indexing Deprecated Versions of the Docs,0,1,0,0,0,2.2945356369018555,5533,126.890625,0.2535834,1,0,0,0,1
Multi-processing with IterableDataset Warning ,0,1,0,0,0,2.2130489349365234,5534,126.9609375,0.1601671,1,0,0,0,0
What is the correct way to set accumulate_grad_batches more than 1 and also a customized optimizer_step?,0,0,0,0,1,2.13521671295166,5537,127.01171875,0.0975136,0,0,1,0,0
Logging validation metrics with `val_check_interval`,0,0,0,1,0,2.2076399326324463,5553,127.09375,0.1671306,1,0,0,0,0
How do I pass metric to tensorboards hparam interface,0,0,0,1,0,2.366128921508789,5560,127.1640625,0.3197198,0,0,1,0,1
How to add a hidden state in test_step when dealing with sequential data?,0,0,0,1,0,2.198391914367676,5564,127.28515625,0.1677986,0,0,1,0,0
"RuntimeError: Tensor for 'out' is on CPU, Tensor for argument #1 'self' is on CPU, but expected them to be on GPU (while checking arguments for addmm)",0,0,0,1,0,2.317331075668335,5562,126.95703125,0.2679456,1,0,0,0,0
Most efficient way to log data to file within training/validation_step,0,0,0,1,1,2.2220425605773926,5558,116.09375,0.1799499,0,1,0,0,0
How to gather predict on ddp,0,0,0,1,0,2.298043727874756,5558,116.16015625,0.2588115,0,0,1,0,0
How to get world_size and global_rank in custom LightningDataModule? ,0,0,0,1,0,2.2816696166992188,5558,116.21875,0.2275351,0,0,1,0,0
Best Practice: How to enhance already existing models with lightning?,0,0,0,1,0,2.263601541519165,5558,116.3515625,0.2181749,0,1,0,0,1
