text,bug,docs,feature,question,won't fix,response_time,vram_usage,ram_usage,total_time,bug pred,feature pred,question pred,won't fix pred,docs pred
Update CONTRIBUTING.md on bugfixes/features PRs,0,1,0,0,0,3.5651559829711914,4510,95.70703125,1.506141,1,1,0,0,0
How to print the metric (across all working trainer in DDP mode) into console after each epoch is end?,0,0,0,1,1,2.0860068798065186,4504,96.51953125,0.04703,0,1,0,0,0
Model loaded from checkpoint has bad accuracy ,0,0,0,1,0,2.0958170890808105,4504,96.5859375,0.0489747,1,0,0,0,0
Add a robots.txt to stop Google from indexing Deprecated Versions of the Docs,0,1,0,0,0,2.3000130653381348,4504,97.0859375,0.2519719,0,1,0,0,0
Multi-processing with IterableDataset Warning ,0,1,0,0,0,2.2347829341888428,4504,97.10546875,0.1910327,0,1,0,0,0
What is the correct way to set accumulate_grad_batches more than 1 and also a customized optimizer_step?,0,0,0,0,1,2.1360597610473633,4504,96.3984375,0.115995,0,1,0,0,0
Logging validation metrics with `val_check_interval`,0,0,0,1,0,2.2865755558013916,4504,96.71875,0.2335285,0,1,0,0,0
How do I pass metric to tensorboards hparam interface,0,0,0,1,0,2.311932325363159,4504,96.69921875,0.2780295,0,1,0,0,0
How to add a hidden state in test_step when dealing with sequential data?,0,0,0,1,0,2.121931552886963,4503,96.703125,0.0750586,0,1,0,0,0
"RuntimeError: Tensor for 'out' is on CPU, Tensor for argument #1 'self' is on CPU, but expected them to be on GPU (while checking arguments for addmm)",0,0,0,1,0,2.314284086227417,4503,96.78125,0.2735423,1,0,0,0,0
Most efficient way to log data to file within training/validation_step,0,0,0,1,1,2.280351161956787,4503,96.79296875,0.2552794,0,1,0,0,0
How to gather predict on ddp,0,0,0,1,0,2.1250226497650146,4503,96.79296875,0.0961608,0,1,0,0,0
How to get world_size and global_rank in custom LightningDataModule? ,0,0,0,1,0,2.271775722503662,4503,97.33203125,0.2220558,0,1,0,0,0
Best Practice: How to enhance already existing models with lightning?,0,0,0,1,0,2.3142199516296387,4503,97.3359375,0.2593804,0,1,0,0,0
Typo correction in optimizers documentation,0,1,0,0,0,2.143181562423706,4503,97.44921875,0.099635,0,1,0,0,0
Available value list of Accelerator.barrier's `name` argument,0,0,0,1,0,2.2399539947509766,4503,97.46484375,0.2196757,0,1,0,0,0
There doesn't seem to be a way to set requires_grad=True for parameters you don't want to update,0,0,0,1,1,2.248239517211914,4504,97.60546875,0.2019542,0,1,0,0,0
Restore training states without create new version in lightning_logs?,0,0,0,1,0,2.2751693725585938,4504,97.60546875,0.2211721,0,1,0,0,0
Errors in documentation generated from lightning.py,0,1,0,0,0,2.29953670501709,4504,97.671875,0.2428541,1,0,0,0,1
OOM using EfficientNet B3,0,0,0,1,0,2.328277349472046,4508,97.71875,0.2765836,0,1,0,0,0
How to we update the learning on every step?,0,0,0,1,0,2.1395928859710693,4508,97.78515625,0.0924654,0,0,1,0,0
How to improve the displayed precision for loss in the progress bar.,0,0,0,1,0,2.375051498413086,4499,96.73828125,0.3234318,0,1,0,0,0
"[docs] use `versionadded`, `versionchanged` and `deprecated` directive",0,1,0,0,1,2.3505709171295166,4506,97.08203125,0.3114986,0,0,0,0,1
"Strange behavior of loss logger, different from actual loss, and with delay. Probably I am misreading something.",0,0,0,1,0,2.2254178524017334,4506,97.0859375,0.1704422,1,1,0,0,0
Question about save_hyperparameters(),0,0,0,1,0,2.2519054412841797,4503,97.578125,0.2139565,0,0,1,0,0
How to pass in step argument to `scheduler.step()`,0,0,0,1,0,2.3746869564056396,4503,96.5703125,0.3440161,0,1,0,0,0
How to re-initlaize a custom accelerator inside the training loop ?,0,0,0,1,0,2.150559186935425,4503,96.5078125,0.1019973,0,1,0,0,0
Classification metrics docs incorrectly state they work with logits,0,1,0,0,0,2.3190436363220215,4503,97.01171875,0.2712516,0,0,0,0,1
Logging metrics (learning rate) to progress bar,0,0,0,1,0,2.1278176307678223,4503,96.484375,0.1003602,0,1,0,0,0
Error in example of learning rate finder docs ,0,1,0,0,0,2.2554116249084473,4503,96.21875,0.2218108,0,0,0,0,1
How to do a full validation loop at iteration 0?,0,0,0,1,1,2.3347115516662598,4503,96.71484375,0.2915587,0,1,0,0,0
How to use Lightning 1.0 without validation dataloader ?,0,0,0,1,0,2.101170301437378,4504,96.46484375,0.0780364,0,1,0,0,0
ModelCheckpoint.save_function documentation,0,0,0,1,0,2.261336326599121,4504,96.71484375,0.2180527,0,0,0,0,1
Add model sharding/gradient checkpointing from FairScale,0,0,1,0,0,2.3607170581817627,4504,96.57421875,0.3251743,0,1,0,0,0
How to use multiple loaders?,0,0,0,1,0,2.157942771911621,4503,96.609375,0.0990251,0,1,0,0,0
[Docs] replace distributed_backend with accelerator in docs,0,1,0,0,0,2.2701196670532227,4503,96.66796875,0.221041,0,0,0,0,1
ReduceLROnPlateau Scheduler documentation problem,0,1,0,0,0,2.270817756652832,4503,97.16015625,0.2340297,0,1,0,0,0
How to save the latest and best checkpoint?,0,0,0,1,0,2.141984701156616,4503,96.7578125,0.1028853,0,1,0,0,0
Multiple GPU/TPU support?,0,0,0,1,0,2.2578141689300537,4503,96.28125,0.217281,0,1,0,0,0
ModuleNotFoundError: No module named 'pytorch_lightning.trainer.seed',0,0,0,1,0,2.232787609100342,4503,96.7421875,0.1945379,1,0,0,0,0
self.log with Metric in ddp,0,0,0,1,1,2.148758888244629,4503,96.7421875,0.1039269,0,1,0,0,0
TypeError: __init__() got an unexpected keyword argument 'default_save_path',0,0,0,1,0,2.2499513626098633,4503,96.24609375,0.215246,1,0,0,0,0
How to add dynamically defined module and its optimizer to the lightning module?,0,0,0,1,1,2.3602521419525146,4503,96.76171875,0.3211433,0,1,0,0,0
How to save gradient every step?,0,0,0,1,0,2.1294660568237305,4503,96.328125,0.0995199,0,1,0,0,0
Typo in sample codes of training_step_end() documentation,0,1,0,0,0,2.3279738426208496,4503,96.23828125,0.2818825,1,0,0,0,1
Trying to find the best way to implement a gradient penalty,0,0,0,1,0,2.2272250652313232,4503,96.734375,0.1911628,0,1,0,0,0
Model save,0,0,0,1,0,2.2145609855651855,4504,96.7265625,0.1671119,0,0,0,0,1
"multiple dataset to train model. Sharing backbone, Separable classifier.",0,0,0,1,1,2.2265326976776123,4504,96.765625,0.1872191,0,1,0,0,0
How to compute a block of code using full precision when training with AMP?,0,0,0,1,0,2.329517126083374,4508,96.765625,0.2818091,0,1,0,0,0
How to print acc while training?,0,0,0,1,0,2.147170066833496,4508,96.1796875,0.0922256,0,1,0,0,0
