text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
im feeling rather rotten so im not very ambitious right now,sadness,"sadness
",1.1859004497528076,3.0,94.0,97.0,sadness
im updating my blog because i feel shitty,sadness,"sadness
",1.097141981124878,3.0,91.0,94.0,sadness
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,"love
",1.2511985301971436,2.0,105.0,107.0,love
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,"joy
",1.1388671398162842,2.0,104.0,106.0,joy
i was feeling a little vain when i did this one,sadness,"joy
",0.5874850749969482,2.0,94.0,96.0,joy
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,"fear
",0.6675758361816406,2.0,96.0,98.0,fear
i felt anger when at the end of a telephone call,anger,"anger
",1.820143461227417,2.0,94.0,96.0,anger
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,"sadness
",1.1764087677001953,3.0,123.0,126.0,sadness
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,"joy
",1.3031818866729736,2.0,101.0,103.0,joy
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,"sadness
",1.4443135261535645,3.0,118.0,121.0,sadness
i don t feel particularly agitated,fear,"sadness
",1.1288223266601562,3.0,89.0,92.0,sadness
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,"love
",1.0585973262786865,2.0,107.0,109.0,love
i pay attention it deepens into a feeling of being invaded and helpless,fear,"fear
",1.0744459629058838,2.0,97.0,99.0,fear
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,"joy
",1.2826929092407227,2.0,101.0,103.0,joy
i find myself in the odd position of feeling supportive of,love,"joy
",1.1557080745697021,2.0,94.0,96.0,joy
i was feeling as heartbroken as im sure katniss was,sadness,"sadness
",1.0905611515045166,3.0,94.0,97.0,sadness
i feel a little mellow today,joy,"joy
",1.1397762298583984,2.0,89.0,91.0,joy
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,"sadness
",1.2095537185668945,3.0,101.0,104.0,sadness
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,"anger
",1.3858537673950195,2.0,110.0,112.0,anger
i feel like reds and purples are just so rich and kind of perfect,joy,"joy
",1.0301339626312256,2.0,98.0,100.0,joy
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,"sadness
",0.5062036514282227,3.0,125.0,128.0,sadness
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,"joy
",1.2219274044036865,2.0,112.0,114.0,joy
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,"sadness
",1.1064536571502686,3.0,130.0,133.0,sadness
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,"joy
",1.186000108718872,2.0,115.0,117.0,joy
i don t feel guilty like i m not going to be able to cook for him,sadness,"sadness
",1.3149323463439941,3.0,100.0,103.0,sadness
i hate it when i feel fearful for absolutely no reason,fear,"fear
",1.8625924587249756,2.0,94.0,96.0,fear
i am feeling outraged it shows everywhere,anger,"anger
",4.611519813537598,2.0,90.0,92.0,anger
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,"sadness
",14.749830961227417,3.0,103.0,106.0,sadness
i do feel insecure sometimes but who doesnt,fear,"sadness
",1.098189353942871,3.0,91.0,94.0,sadness
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,"joy
",1.1326942443847656,2.0,114.0,116.0,joy
ive been missing him and feeling so restless at home thinking of him,fear,"sadness
",0.5756096839904785,3.0,96.0,99.0,sadness
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,"sadness
",1.0375275611877441,3.0,106.0,109.0,sadness
i start to feel emotional,sadness,"sadness
",1.1350948810577393,3.0,88.0,91.0,sadness
i feel so cold a href http irish,anger,"sadness
",1.1644351482391357,3.0,91.0,94.0,sadness
i feel like i m defective or something for not having baby fever,sadness,"sadness
",1.14320969581604,3.0,96.0,99.0,sadness
i feel more virtuous than when i eat veggies dipped in hummus,joy,"joy
",1.18800687789917,2.0,95.0,97.0,joy
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,"joy
",1.1000823974609375,2.0,122.0,124.0,joy
i spent the last two weeks of school feeling miserable,sadness,"sadness
",1.1056897640228271,3.0,93.0,96.0,sadness
im feeling very peaceful about our wedding again now after having,joy,"joy
",1.135887861251831,2.0,94.0,96.0,joy
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,"joy
",1.1748051643371582,2.0,110.0,112.0,joy
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,"anger
",0.622408390045166,2.0,110.0,112.0,anger
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,"sadness
",1.1056504249572754,3.0,115.0,118.0,sadness
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,"joy
",1.1670513153076172,2.0,102.0,104.0,joy
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,"sadness
",0.5417733192443848,3.0,101.0,104.0,sadness
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,"joy
",1.1821534633636475,2.0,108.0,110.0,joy
im feeling really out of place and irritated,anger,"anger
",1.380061149597168,2.0,91.0,93.0,anger
i also know that i feel nothing than a friendly affection to them too,joy,"love
",1.0752012729644775,2.0,97.0,99.0,love
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,"joy
",1.0684072971343994,2.0,105.0,107.0,joy
im feeling insecure at the moment,fear,"sadness
",1.0533173084259033,3.0,89.0,92.0,sadness
