text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,response_time,vram_usage,ram_usage,total_time,cs.AI pred,cs.CL pred,stat.ML pred,math.OC pred,cs.LG pred
FLAG: Fast Label-Adaptive Aggregation for Multi-label Classification in Federated Learning,1,0,1,0,0,2.4969992637634277,5540,104.6171875,0.4359355,1,0,0,0,0
Large-Margin Classification in Hyperbolic Space,0,0,1,0,1,2.3118274211883545,5492,104.6171875,0.2726912,1,0,0,0,0
Student Specialization in Deep ReLU Networks With Finite Width and Input Dimension,0,0,1,0,1,2.5013976097106934,5462,104.6171875,0.446318,1,0,0,0,0
Joint Modelling of Emotion and Abusive Language Detection,0,1,1,0,0,2.2935233116149902,5466,104.6171875,0.2484003,1,0,0,0,0
Allocation of Excitation Signals for Generic Identifiability of Linear Dynamic Networks,0,0,0,1,0,2.441166877746582,5466,105.09765625,0.4120405,1,0,0,0,0
Fidelity-Induced Interpretable Policy Extraction for Reinforcement Learning,1,0,1,0,0,2.3386223316192627,5466,106.9453125,0.2869384,1,0,0,0,0
Koopman Methods for Estimation of Animal Motions over Unknown Submanifolds,0,0,1,0,1,2.482964277267456,5466,110.5,0.4357833,1,1,0,0,0
Probabilistic Multilevel Clustering via Composite Transportation Distance,0,0,1,0,1,2.2545385360717773,5466,112.078125,0.2210409,0,0,0,0,0
Internet-Augmented Dialogue Generation,1,1,0,0,0,2.3982086181640625,5466,112.078125,0.3437359,1,0,0,0,0
Uncertainty in Fairness Assessment: Maintaining Stable Conclusions Despite Fluctuations,0,0,1,0,0,2.3478615283966064,5466,112.078125,0.3065281,1,0,1,0,0
Learning Implicit Generative Models with Theoretical Guarantees,0,0,1,0,1,2.402539014816284,5555,112.078125,0.348982,1,0,0,0,0
"Granular-ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",1,0,1,0,0,2.360022783279419,5595,112.078125,0.3041174,1,0,0,0,0
A general Markov decision process formalism for action-state entropy-regularized reward maximization,1,0,1,0,0,2.33168363571167,5592,112.078125,0.2909638,1,0,0,0,0
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,0,0,1,0,1,2.3638947010040283,5603,112.11328125,0.3117305,1,0,0,0,0
Dependency-based Mixture Language Models,0,1,0,0,0,2.3663830757141113,5622,113.49609375,0.313273,1,0,0,0,0
CloudScan - A configuration-free invoice analysis system using recurrent neural networks,0,1,0,0,0,2.2262673377990723,5566,113.8125,0.1860426,0,0,0,0,0
LMVE at SemEval-2020 Task 4: Commonsense Validation and Explanation using Pretraining Language Model,1,1,0,0,0,2.3305246829986572,5538,113.8203125,0.3005205,1,0,0,0,0
AutoAI-TS: AutoAI for Time Series Forecasting,1,0,1,0,0,2.2902913093566895,5544,113.8203125,0.2537145,1,0,0,0,0
Sampling in Constrained Domains with Orthogonal-Space Variational Gradient Descent,0,0,1,0,1,2.414562225341797,5539,113.82421875,0.3605711,1,0,0,0,0
Cloud-Enabled Differentially Private Multi-Agent Optimization with Constraints,0,0,0,1,0,2.5353989601135254,5538,113.82421875,0.4984775,1,0,0,1,1
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents,0,1,1,0,0,2.3454716205596924,5538,113.828125,0.2956735,1,0,0,0,0
RuSentNE-2023: Evaluating Entity-Oriented Sentiment Analysis on Russian News Texts,0,1,0,0,0,2.3156590461730957,5538,113.828125,0.2672042,1,0,0,0,0
GraphTSNE: A Visualization Technique for Graph-Structured Data,0,0,1,0,1,2.490870714187622,5538,113.828125,0.4499318,1,0,0,0,0
Using Artificial French Data to Understand the Emergence of Gender Bias in Transformer Language Models,1,1,0,0,0,2.3870067596435547,5538,113.828125,0.3552585,1,1,0,0,0
Optimal Low-Rank Dynamic Mode Decomposition,0,0,0,0,1,2.3868532180786133,5538,113.828125,0.3527014,0,0,0,1,1
Efficient Localized Inference for Large Graphical Models,0,0,1,0,1,2.3153696060180664,5538,113.828125,0.2781928,1,0,0,0,0
How to model marine reserves ?,0,0,0,1,0,2.4447455406188965,5538,113.828125,0.4030024,0,0,0,0,0
Graph Regularized Low Rank Representation for Aerosol Optical Depth Retrieval,0,0,1,0,0,2.3123819828033447,5538,113.828125,0.2831391,1,0,0,0,0
Operational planning and bidding for district heating systems with uncertain renewable energy production,0,0,0,1,0,2.487375497817993,5538,113.828125,0.4448241,0,0,0,1,1
Optimal Bounds for Integrals with Respect to Copulas and Applications,0,0,0,1,0,2.3963088989257812,5538,114.03515625,0.3557032,0,0,0,1,1
EAdam Optimizer: How $\epsilon$ Impact Adam,0,0,1,0,1,2.414620876312256,5538,114.03515625,0.3734393,1,0,0,1,0
An Analysis of Dual-Issue Final-Offer Arbitration,0,0,0,1,0,2.2866334915161133,5538,114.03515625,0.2454914,0,0,0,1,0
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0,0,1,0,1,2.4829862117767334,5538,114.03515625,0.4444781,1,0,0,0,1
Learning Goal Embeddings via Self-Play for Hierarchical Reinforcement Learning,0,0,1,0,1,2.34365177154541,5538,114.03515625,0.302566,1,0,0,0,0
Resonance in Weight Space: Covariate Shift Can Drive Divergence of SGD with Momentum,0,0,1,0,1,2.477008581161499,5538,114.03515625,0.4422511,1,0,0,0,0
Deep Minimax Probability Machine,0,0,1,0,1,2.331101894378662,5538,114.03515625,0.2791568,1,0,0,0,0
Is Sluice Resolution really just Question Answering?,1,1,0,0,0,2.4533302783966064,5538,114.0390625,0.3945231,1,1,0,0,0
Relation Extraction from Biomedical and Clinical Text: Unified Multitask Learning Framework,0,1,0,0,0,2.3297441005706787,5538,114.04296875,0.2803635,1,0,0,0,0
Robust PCA in High-dimension: A Deterministic Approach,0,0,1,0,1,2.3434629440307617,5538,114.04296875,0.3055441,0,0,0,0,0
In-context Learning as Maintaining Coherency: A Study of On-the-fly Machine Translation Using Large Language Models,1,1,0,0,0,2.3166732788085938,5538,114.04296875,0.2731367,1,0,0,0,0
Reasoning over Multi-view Knowledge Graphs,1,0,1,0,0,2.379747152328491,5538,114.04296875,0.3633346,1,1,0,0,0
Doing Good or Doing Right? Exploring the Weakness of Commonsense Causal Reasoning Models,0,1,0,0,0,2.3433115482330322,5538,114.04296875,0.2911277,1,0,0,0,0
"Weak, Strong and Linear Convergence of a Double-Layer Fixed Point Algorithm",0,0,0,1,0,2.3309600353240967,5538,114.04296875,0.2898035,1,0,0,0,0
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,0,1,0,0,0,2.414034128189087,5538,114.04296875,0.3722302,1,1,0,0,0
UMIX: Improving Importance Weighting for Subpopulation Shift via Uncertainty-Aware Mixup,0,0,1,0,0,2.3502020835876465,5538,114.19140625,0.3009819,1,0,0,0,0
