text,label,prediction,response_time,vram_usage,ram_usage,total_time
i have to study...   #face #pizza (i stole my roommate's idea for taking this pic) ,safe,safe,18.615899801254272,4881,120.15625,16.5504989
  days porn movie srilankanboyssex  ,safe,hateful,2.407109498977661,4893,123.7578125,0.3618292
feeling   for friends left in the place we use to live and raised our #son. life you live in the #mining world! ,safe,hateful,2.2397210597991943,4890,127.66796875,0.1809731
"why only target little #muslim children for mispronouncing ""terraced house"" &amp; treat them like criminals!â¦ ",hateful,hateful,2.324172019958496,4885,127.9375,0.2709923
M. Todd Henderson dared compare SCOTUS nominee Brett Kavanaugh with Sonia Sotomayor. They called him a racist and worse. http://www.patheos.com/blogs/dispatches/2018/08/09...,safe,hateful,2.3592047691345215,4885,128.12109375,0.3132903
@user can someone please explain to these liberals that it takes more than clapping and kneeling to actually make a real difference ,safe,hateful,2.3711090087890625,4885,128.17578125,0.3376665
"Italy is the world’s 9th economy and is on a trajectory that in the long run will end in an economic implosion due to demographic decline , not solvable by forced mass immigration The debt ratio will be 200 percent by... ",hateful,hateful,2.265482187271118,4885,128.25390625,0.2176055
You can't debate with a Libertarian either.  1)  Mindbendingly tedious theoretical concepts. 2)  Legalize Marijuana.,safe,safe,2.306055784225464,4885,128.3046875,0.2580862
The Orange One may actually combust... [NEWLINE][NEWLINE]We can hope... 🤞[NEWLINE]#Trump2020 😒[NEWLINE]#TrumpTaxReturns 🤫[NEWLINE]#TrumpBusinessGenius 😄[NEWLINE][NEWLINE]https://t.co/kyx7WbOoVz,hateful,hateful,2.347839593887329,4885,128.35546875,0.3178469
@user @user @user @user @user @user So the first thing you do is put the black guy up and call out that we are using the race card. Shows how racist you are. Maybe put a Latino or woman up next. ,hateful,hateful,2.369711399078369,4885,115.01953125,0.3201609
@user You are lying. Stick with the facts. We pay more than that now. ,safe,hateful,2.2194836139678955,4885,115.0234375,0.1804342
Idk who these things are or why they're popular all of the sudden... And that's my meme about that ,hateful,safe,2.3369553089141846,4885,115.07421875,0.2900202
"I love those things. Oh well, maybe someday.",safe,safe,2.3630406856536865,4885,115.12890625,0.3088997
"@user justice, how is the search for the killer going?  ",safe,safe,2.376702308654785,4885,115.1796875,0.3314457
"When you find yourself in a hole, quit digging. - Will Rogers #quote ",safe,safe,2.226667881011963,4885,115.23828125,0.1771749
The best part about being me is that I'll never be like you ,safe,hateful,2.32244610786438,4885,115.296875,0.2850539
".@FLOTUS, I didn't hear you saying anything when you husband was talking about grabbing women by the pussy. That's ok tho? Go play in the garden in your stilettos and stfu! ",safe,hateful,2.3651862144470215,4885,115.48828125,0.3171314
when albea bound comes on during the play list.   #awesomesong #paulbrandt,safe,safe,2.364562749862671,4885,115.48828125,0.3231614
Employed by Ohio State!   And they are aware!    https://wexnermedical.osu.edu/find-a-doctor/ryan-williams-md-79996  See about me and media link.,safe,safe,2.2091126441955566,4885,115.48828125,0.1680173
They have no right to breath air in my opinion ,safe,hateful,2.357966423034668,4885,115.48828125,0.3134878
"Live Now topics attract posts for visibility reasons, i suspect very few people in this topic would be making these muh sportsball muh niggerball posts at all were there not a topic prominently displayed for them to do so in. It reminds me of trained seals, clapping on cue. It's all very wrong",hateful,hateful,2.2623660564422607,4885,115.5078125,0.2147892
finally... now on to other suppos~   #leagueoflegends ,safe,safe,2.2908377647399902,4885,115.55859375,0.2608805
@USER you are like a real life cartoon character!! I love and respect the shit out of you for it. Keep doing you,hateful,safe,2.337430953979492,4885,115.609375,0.2953039
ehh #rip what damn week   ,safe,hateful,2.2221126556396484,4885,115.72265625,0.1741189
RT: Would you have an issue if President Trump used the Military to #BuildTheWall #BuildThatWallTrump: I could use MILITARY to build my wall if Congress plays tough via @user ,hateful,hateful,2.386186122894287,4885,115.7265625,0.3373698
@user @user If Obama's lips are moving then he is lying. ,hateful,hateful,2.212846040725708,4885,115.7265625,0.1721711
@user What?  All 12 of them?  What about the terrorists Antifa?  Farrakhan’s hateful and racist thugs?  BLM criminals?  Black Panthers?  Those groups have NO place either! ,hateful,hateful,2.347090005874634,4885,115.7265625,0.3077862
"@user Nah bitch ain't no fuckin shoe , stfu . You a obsessed hoe . He done with you , move on with yo lif… ",hateful,hateful,2.358553647994995,4885,115.7578125,0.3240922
@USER Treason he should hang he has no business even trying this who the F does he think he is Trump needs to Lock him up fast,hateful,hateful,2.2260515689849854,4885,115.7578125,0.1859337
@USER She is not a cheater. That chair ump robbed her.,hateful,hateful,2.341155529022217,4885,115.76171875,0.2876518
I confess. I'm autistic or something. I thought #Aerosmith #DreamOn was #LedZeppelin until like yesterday....... #retarded,hateful,hateful,2.363405704498291,4885,115.7890625,0.3120819
Marcus Smart belongs on the Celtics. Both trash. It was destiny.,safe,hateful,2.371819257736206,4885,115.7890625,0.3246152
"@user @user @user @user @user @user @user @user @user RT @user Please arrest/prosecute all Governors, Mayors, and members of #Congress who are violating any Federal Laws. #USA #Americans #Constitution #2A #1A #EndSanctuaryCities #EndDACA #NoAmnesty #EndGunControl #EndGunFreeZones #AmericaFirst #MAGA @user @user ",safe,hateful,2.3137853145599365,4887,115.7890625,0.2569381
just setting up my account. hello twitter! #myfirsttweet  #photooftheday    #amazing #beautiful #lol ,safe,safe,2.3943397998809814,4887,115.7890625,0.3448105
Me whenever anyone compliments me ,hateful,safe,2.4164953231811523,4887,115.80078125,0.3741234
this is what #waiting at 2:30am for the shuttle too show up looks and feels like... so   itâ¦ ,safe,safe,2.207437038421631,4887,115.80078125,0.1552766
aarakshan #hindustan   fathers n teachers day,safe,hateful,2.3781228065490723,4887,115.80078125,0.3275637
@USER Conservatives basically want some kind of Harrison Bergeron scenario where public universities are forced to pretend Charlie and Candace are functioning adults.,safe,hateful,2.2414982318878174,4887,115.80078125,0.1862363
When someone that never has any weed asks to hit the blunt ,hateful,hateful,2.326385498046875,4887,115.82421875,0.286101
@gae_wright @detroitnews 🤮🤮🤮[NEWLINE][NEWLINE]No to Jim Crow Joe Biden and California's Top Cop Kamala Harris after MONTHS of protesting!?!?[NEWLINE][NEWLINE]The DNC picked thee absolute worst choices. Everyone knows it too.,hateful,hateful,2.3716466426849365,4887,115.82421875,0.3157418
"@user RIGHT?? then she goes 'oh i had sex with frank, poor baby ahahah' NO BITCH if that aint rape i dont know what is ",safe,hateful,2.217769145965576,4887,115.82421875,0.1811633
@user He should bash Trump and that will change... liberals hate Trump more than pedophiles. ,hateful,hateful,2.3399856090545654,4887,115.80859375,0.3105213
"But in print, you don't have the same Brit sounding lilt",safe,safe,2.1960947513580322,4887,115.8125,0.1668222
"My Twitter account has been locked 4 me defending myself&r country against subversion. My comment was :   ""@ColinFerri we can (No) longer tolerate idiotic talk from fools like u. U will need to b tried & executed. CA etc r on the verge of war with US.""  .",safe,hateful,2.377492904663086,4887,115.8125,0.326564
@user Leftwing filth.Deport them all.#Sendthemback ,hateful,hateful,2.3604748249053955,4887,115.8125,0.3212524
"@user @user I smell fear, he will be shoot dead on the streets of #AddisAbaba there are a lots people that are willing to take him out. #Ethiopia #Tigray #EPRDF #TPLF #YPFDJ #refugees #Eritrea ",hateful,hateful,2.269456386566162,4887,115.81640625,0.2271232
https://www.scribd.com/document/376298359/DOJ-IG-releases-explosive-report-that-led-to-firing-of-ex-FBI-Deputy-Director-Andrew-McCabe#from_embed  ,safe,hateful,2.3094429969787598,4887,115.81640625,0.2803025
"Libs trash Saira Blair, an 18-year-old Republican who won a seat in the West Virginia legislature 
http://t.co/V01w8UamJy",hateful,hateful,2.3522660732269287,4887,115.81640625,0.3141306
@user His protest is indeed a right as it is my right to make sure none of my money goes to the NFL or anything he supports including Nike. ,safe,hateful,2.3614015579223633,4887,115.8203125,0.3387552
Belgians are rather fond of their waffles. ,safe,safe,2.2079572677612305,4887,115.8203125,0.1687721
when ugly hoes try to come for you .... Bitch DISGUSTING ,hateful,hateful,2.3592615127563477,4887,115.8203125,0.3108766
"@user It really sucks when commies atheists liberals refugees and anyone who isn't one of (us) uses our"""" precious tax dollars...."""" ",hateful,hateful,2.220618724822998,4887,115.8203125,0.1805636
