text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,response_time,vram_usage,ram_usage,total_time,cs.AI pred,cs.CL pred,stat.ML pred,math.OC pred,cs.LG pred
FLAG: Fast Label-Adaptive Aggregation for Multi-label Classification in Federated Learning,1,0,1,0,0,6.914289474487305,4615,100.02734375,4.8473285,1,1,1,0,0
Large-Margin Classification in Hyperbolic Space,0,0,1,0,1,2.1654574871063232,4615,100.12109375,0.1161861,1,1,0,0,0
Student Specialization in Deep ReLU Networks With Finite Width and Input Dimension,0,0,1,0,1,2.423323392868042,4558,100.1953125,0.3958474,1,1,0,1,0
Joint Modelling of Emotion and Abusive Language Detection,0,1,1,0,0,2.230337619781494,4529,100.4296875,0.1966949,1,1,0,0,0
Allocation of Excitation Signals for Generic Identifiability of Linear Dynamic Networks,0,0,0,1,0,2.4466400146484375,4529,101.34375,0.3983702,1,1,0,1,0
Fidelity-Induced Interpretable Policy Extraction for Reinforcement Learning,1,0,1,0,0,2.3484878540039062,4529,100.77734375,0.3090376,1,1,0,1,0
Koopman Methods for Estimation of Animal Motions over Unknown Submanifolds,0,0,1,0,1,2.338719367980957,4529,100.8203125,0.2832669,1,1,0,1,0
Probabilistic Multilevel Clustering via Composite Transportation Distance,0,0,1,0,1,2.3136816024780273,4529,101.1484375,0.2628532,1,1,1,0,0
Internet-Augmented Dialogue Generation,1,1,0,0,0,2.2827579975128174,4529,101.15234375,0.2304888,1,1,0,0,0
Uncertainty in Fairness Assessment: Maintaining Stable Conclusions Despite Fluctuations,0,0,1,0,0,2.4853503704071045,4529,102.0859375,0.4445094,1,1,1,0,0
Learning Implicit Generative Models with Theoretical Guarantees,0,0,1,0,1,2.319014072418213,4529,102.16015625,0.2654205,1,1,0,0,0
"Granular-ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",1,0,1,0,0,2.3688559532165527,4529,101.9453125,0.3169208,1,1,0,1,0
A general Markov decision process formalism for action-state entropy-regularized reward maximization,1,0,1,0,0,2.2801289558410645,4529,101.95703125,0.2278047,1,0,0,1,0
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,0,0,1,0,1,2.422579526901245,4529,102.04296875,0.3775825,1,1,0,1,1
Dependency-based Mixture Language Models,0,1,0,0,0,2.2906012535095215,4529,102.046875,0.244214,1,1,0,0,0
CloudScan - A configuration-free invoice analysis system using recurrent neural networks,0,1,0,0,0,2.4786734580993652,4529,102.046875,0.4318038,1,1,0,0,1
LMVE at SemEval-2020 Task 4: Commonsense Validation and Explanation using Pretraining Language Model,1,1,0,0,0,2.2607312202453613,4529,102.05078125,0.2179409,0,1,0,1,0
AutoAI-TS: AutoAI for Time Series Forecasting,1,0,1,0,0,2.336270809173584,4529,102.0546875,0.2978065,1,1,0,1,0
Sampling in Constrained Domains with Orthogonal-Space Variational Gradient Descent,0,0,1,0,1,2.3255324363708496,4529,102.0546875,0.2721692,1,1,0,1,0
Cloud-Enabled Differentially Private Multi-Agent Optimization with Constraints,0,0,0,1,0,2.3560068607330322,4523,102.06640625,0.2986095,1,0,0,1,1
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents,0,1,1,0,0,2.3062543869018555,4523,102.06640625,0.263213,1,1,0,0,1
RuSentNE-2023: Evaluating Entity-Oriented Sentiment Analysis on Russian News Texts,0,1,0,0,0,2.2111635208129883,4523,102.06640625,0.17491,0,1,0,0,0
GraphTSNE: A Visualization Technique for Graph-Structured Data,0,0,1,0,1,2.3662047386169434,4523,102.06640625,0.3422206,0,1,0,0,0
Using Artificial French Data to Understand the Emergence of Gender Bias in Transformer Language Models,1,1,0,0,0,2.3427112102508545,4523,101.859375,0.3097433,1,1,0,0,1
Optimal Low-Rank Dynamic Mode Decomposition,0,0,0,0,1,2.3207852840423584,4523,101.86328125,0.2706234,1,1,0,1,0
Efficient Localized Inference for Large Graphical Models,0,0,1,0,1,2.3462464809417725,4523,102.19140625,0.2992212,1,1,0,1,0
How to model marine reserves ?,0,0,0,1,0,2.212824583053589,4523,102.21484375,0.1647112,0,0,0,1,0
