text,ENTREGA,OUTROS,PRODUTO,CONDICOES DE RECEBIMENTO,ANUNCIO,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"ESSE PRODUTO PODE ATÉ SER BOM, PORÉM, A AMERICANAS JÁ NÃO ME INSPIRA MUITA CONFIANÇA. NÃO PELA AMERICANAS EM SI, POIS SEMPRE FORA UMA EMPRESA SÉRIA. A ÚLTIMA COMPRA QUE EFETUEI, A AMERICANAS COLOCOU AOS CUIDADOS DA ""DIRECT"". ME CAUSARAM MUITOS PROBLEMAS PARA ENTREGAR O PRODUTO, QUE NA OCASIÃO ERA UM CELULAR. PRECISEI ACIONAR O RECLAME AQUI PARA ME AJUDAR.... NÃO FOI FÁCIL!!!!! GOSTARIA DE COMPRAR ESSE PRODUTO : Kit Com 10 Cuecas Boxer de Cotton 4.0 - Polo Match....., PORÉM NÃO SEI SE TEREI PROBLEMAS NOVAMENTE. COMPLICADO!!",1,1,0,0,0,"entrega, produto, outros",1.0644934177398682,10.0,336.0,346.0,"['ENTREGA', 'OUTROS']"
Recomendo!Os aparelhos da motorola são muito bons!!!,0,0,1,0,0,"produto, outros",0.5413861274719238,7.0,160.0,167.0,['OUTROS']
"Eu ameiii o produto, pena que veio com  o espelho quebrado.",0,0,1,1,0,"produto, condicoes de recebimento",0.7496390342712402,13.0,165.0,178.0,['CONDICOES DE RECEBIMENTO']
bom....................................................................................................................................,0,0,1,0,0,outros,0.6820626258850098,3.0,152.0,155.0,['OUTROS']
Quero saber quando chegará mais pois gostaria de comprar,0,1,0,0,0,"entrega, outros",1.1928346157073975,7.0,158.0,165.0,"['ENTREGA', 'OUTROS']"
muito lindas confortável leves lindas amei muito super recomendo.,0,0,1,0,0,"produto, outros",0.5162029266357422,7.0,160.0,167.0,['OUTROS']
"Bom dia! Não me mandaram esse produto que escolhi, mandaram outro completamente diferente. Inclusive já devolvi, estou esperando a loja receber para fazer o estorno do cartão, me mandaram uma mercadoria completamente diferente da que escolhi.",0,1,0,1,0,"produto, condicoes de recebimento",0.5850870609283447,13.0,198.0,211.0,['CONDICOES DE RECEBIMENTO']
"Comprei banquetas pelo site da loja e achei excelente todo o procedimento, desde a compra até a entrega.  To das as etapas foram informadas e chegou bem rápido. Gostei muito.",1,1,1,0,0,"entrega, produto",0.6332898139953613,7.0,188.0,195.0,['ENTREGA']
"Gostei muito, agora se é bom, isso vou dizer de acordo o uso,mais me parece de boa qualidade..",0,0,1,0,0,"produto, outros",0.6395866870880127,7.0,172.0,179.0,['OUTROS']
Muito boa  Super recomendado. A entrega foi super rápido.,1,0,1,0,0,"entrega, produto",0.661097526550293,7.0,160.0,167.0,['ENTREGA']
Excelente produto podem confiar  Entrega rápida sem nenhum problema,1,0,1,0,0,"produto, entrega",0.5403547286987305,7.0,159.0,166.0,['ENTREGA']
"Escrevi 100%, mas este avaliador quer que façamos uma dissertação, o que não tenho tempo, então não mais avaliarei nada.",0,1,1,0,0,outros,0.4876091480255127,3.0,180.0,183.0,['OUTROS']
"É ótimo para iniciar as crianças no mundo das letras. Como profissional da educação, eu inicialmente prefiro livros com letra bastão. Minha filha achou o livro muito lindo......Nota 10.",0,0,1,0,0,"produto, outros",0.4628474712371826,7.0,187.0,194.0,['OUTROS']
"toalhas muito bonitas, macias , e o melhor enxuga muito bem, comprei um kit para experimentar e depois comprei mais 03 kits, 100%",0,0,1,0,0,"produto, outros",0.557762622833252,7.0,182.0,189.0,['OUTROS']
"Gostaria de saber se e 3 ou 5 peças? Pois queria finalizar ,mais nao quero finalizar com a dúvida. Obg",0,1,0,0,0,outros,0.6344165802001953,3.0,175.0,178.0,['OUTROS']
"Bom produto, gostei Sò que a manga é muito grande eu vou tem que levar na costura para fechar um pouco do tamanho",0,0,1,0,0,"produto, outros",0.7015485763549805,7.0,174.0,181.0,['OUTROS']
"Enquanto as americanas continuarem usando os correios, estara dificil. 40 dias e nada do produto chegar",1,1,0,0,0,"entrega, produto, condicoes de recebimento",0.7725298404693604,16.0,171.0,187.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
"Demorou demais a entregar, então cancelei e comprei na loja física, parece até q estava vindo da China e parou em Curitiba",1,0,0,0,0,"entrega, outros",0.6611530780792236,7.0,178.0,185.0,"['ENTREGA', 'OUTROS']"
Hoje apareceu uma listra na tela nem queria destravar a senha,0,0,1,0,0,"produto, outros",0.5077366828918457,7.0,161.0,168.0,['OUTROS']
o produto é muito bom.... tem um rendimento excelente,0,0,1,0,0,"produto, outros",0.5642280578613281,7.0,158.0,165.0,['OUTROS']
Eu recomendo para os meus amigos inclusive Já fiz vários comentários sobre o produto eu gostei muito,0,0,1,0,0,"produto, outros",0.5186524391174316,7.0,166.0,173.0,['OUTROS']
Produto do bom entrega rápida ainda em avaliação mais acho que supera o que eu esperava.,1,0,1,0,0,"produto, entrega",0.6388933658599854,7.0,166.0,173.0,['ENTREGA']
"Produto ótimo, porém a entrega foi péssima tive de ir buscar na trasportadora",1,0,1,0,0,"produto, entrega, condicoes de recebimento",0.6742136478424072,16.0,166.0,182.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO']"
São de ouro esses copos? Olha o preço está muito caro,0,0,1,0,0,"outros, produto",0.5376317501068115,6.0,162.0,168.0,['OUTROS']
"A TV é ótima, meu marido joga com o Xbox e adorou a imagem, porém, o controle está com problemas, mas vezes não funciona e as vezes funciona sozinho, fica abrindo os menus da TV. Nós vamos procurar a assistência aqui na cidade para comprar um novo, o trabalho e a demora inviabilizam pedir a troca.",0,1,1,1,0,"produto, outros",0.7047672271728516,7.0,216.0,223.0,['OUTROS']
"A borracha estourou quando fui usar o forno,estou tentando entrar em contato e não consigo.ja deixei um e mail pra vcs mais até agora não me retornaram",0,1,1,0,0,"produto, outros",0.48322629928588867,7.0,185.0,192.0,['OUTROS']
A região do auto-falante aquece muito a ponto de incomodar mesmo em conversas breves. A LG precisa resolver este problema!,0,0,1,0,0,"produto, outros",0.5210108757019043,7.0,177.0,184.0,['OUTROS']
Não gostei do produto.  Não tem a mesma medida do j7,0,0,1,0,1,"produto, outros",0.6463687419891357,7.0,162.0,169.0,['OUTROS']
"A regulagem de temperatura não funciona, o técnico autorizado veio ver , vai pedir a peça .",0,0,0,1,0,"produto, outros",0.598395824432373,7.0,167.0,174.0,['OUTROS']
"Na verdade a minha avaliação é para a empresa, pq é claro e notório que a descrição da cadeira é um caramelo ou marron !!!!! por aí. Eles enviaram uma cadeira cor chumbo e ou cinza (nem sei descriminar a cor) Não vou reclamar da demora da entrega pq eles dizem 58 dias, comprei em 22/03/18 e entregaram no dia 14/05/2018. Não respondem ao e-mail do comprador.  Insatisfeita.",1,1,0,0,1,"produto, entrega, outros",0.7707226276397705,10.0,251.0,261.0,"['ENTREGA', 'OUTROS']"
"Comprei o produto pois de acordo com a descrição, o alcance era de 50 metros. Entretanto, o produto que me foi entregue tem alcance máximo de 20 metros. Quero devolver o produto e receber meu dinheiro de volta mas até agora não consegui ser atendida.",0,1,0,1,1,"produto, condicoes de recebimento, outros",0.6267964839935303,16.0,203.0,219.0,"['CONDICOES DE RECEBIMENTO', 'OUTROS']"
expectativa maior do que o produto oferece. Área de aplicação muito pequena para a finalidade de limpar janelas de vidro.,0,0,1,0,0,"produto, outros",0.5712099075317383,7.0,171.0,178.0,['OUTROS']
"Indico o produto, e aconselho ao fabricante um material mais resistente, as tiras laterais arrebentam com muita facilidade. Uma idéia tão boa, produzida com material de baixa qualidade, acho que poderia ser melhor.",0,0,1,0,0,"produto, outros",0.5332129001617432,7.0,195.0,202.0,['OUTROS']
Esse foi o mais caro   Chegou ok   Quando fui estalar o cano do reservatório é muito maior e não cabe a mangueira    ! Não cabe a manguerinha de cima  fizeram maior que o original,0,0,1,1,0,"produto, condicoes de recebimento",0.6024887561798096,13.0,195.0,208.0,['CONDICOES DE RECEBIMENTO']
"Precisei de um montador para montar este ventilador e mesmo sendo um profissional ele também teve dificuldades. A montagem não é simples.  Era bem silencioso no início, mas já nas primeiras semanas de uso começou a fazer um barulho que incomoda.  As três velocidades também não são muito superiores uma da outra.  Agora que o tempo está mais frio estou utilizando na potência mínima. No verão é que vou poder conferir a qualidade do produto.",0,0,1,0,0,"produto, outros",0.6538000106811523,7.0,240.0,247.0,['OUTROS']
"Produto dentro do esperado, mas não apresenta uma qualidade de imagem boa se não estiver exatamente de frente para a tela.",0,0,1,0,0,"produto, outros",0.48239994049072266,7.0,171.0,178.0,['OUTROS']
"Péssima aquisição. Comprei pra ser um quebra galho mesmo, mas nunca imaginei que seria tão ruim. A impressora, de fato, é fácil de configurar. Porém, a tinta acabou em 1 semana. Não imprimi nem 50 folhas.",0,0,1,0,0,"produto, outros",0.6406044960021973,7.0,203.0,210.0,['OUTROS']
"Celular é bom, realmente. Dei de presente, mas o pouco que tive contato é bem atraente o visual e a interface dele. Problema que você tem, é perante a película, pois a tela dele é curvada e a dificuldade de achar capinhas, pelo menos aqui na minha cidade. Foi entregue em uma semana, considerável. Mas a transportadora poderia ter forrado a caixa, pois ele veio dentro de uma caixa muito maior, assim ficava batendo. E caso esteja em dúvida sobre  a caixa de presente oferecida, não compensa comprar ela, muito cara para algo tão simples.",1,0,1,1,0,"produto, entrega, outros",0.5583000183105469,10.0,272.0,282.0,"['ENTREGA', 'OUTROS']"
"ADOREI TDO NESSA TV EXCELENTE...MEUS FILHOS AMOU,MTO FACEIO DE MEXER SUPER RECOMENDO...PRETENDO COMPRAR OUTRA",0,0,1,0,0,"produto, outros",0.6482048034667969,7.0,190.0,197.0,['OUTROS']
"Atendimento dentro do esperado, com produto de qualidade da marca LUPO.",0,1,1,0,0,"produto, outros",0.6786971092224121,7.0,162.0,169.0,['OUTROS']
"Ainda não recebi o produto!!! Estou aguardando com 39 semanas de gestação, com todas as roupas do meu filho fora do armário porque o prazo dado não foi cumprido e até hoje não me passaram a data que iremos receber os itens!!! Totalmente decepcionada!",1,0,0,0,0,"entrega, produto, outros",0.612788200378418,10.0,205.0,215.0,"['ENTREGA', 'OUTROS']"
"PÉSSIMO ATENDIMENTO, DESCASO TOTAL COM O CONSUMIDOR. 11 DIAS DE ATRASO!",1,1,0,0,0,"outros, entrega",0.5994880199432373,6.0,176.0,182.0,"['ENTREGA', 'OUTROS']"
"AINDA NÃO RECEBI, ENTÃO NÃO POSSO AVALIAR. AINDA NÃO RECEBI, ENTÃO NÃO POSSO AVALIAR.",1,0,0,0,0,"entrega, outros",0.5549204349517822,7.0,182.0,189.0,"['ENTREGA', 'OUTROS']"
"PARA SE FAZER A AVALIAÇÃO CORRETA DO PRODUTO, É PRECISO MAIS ALGUNS DIAS DE USO, QUANDO ELE DEVERÁ DAR RESULTADOS POSITIVOS.",0,0,1,0,0,"produto, outros",0.5226452350616455,7.0,190.0,197.0,['OUTROS']
"O PRODUTO PARECE IGUAL, MAS NÃO VEM NA CAIXA ORIGINAL DA Flashlimp",0,0,0,1,0,"produto, condicoes de recebimento",0.6906769275665283,13.0,170.0,183.0,['CONDICOES DE RECEBIMENTO']
"Recomendaria o produto se vocês me entregassem, há um mês atrás fiz a compra e até agora o status no rastreio é que o notebook não chegou a unidade dos Correios. Decepcionada com a Americanas e o seu descaso ao atendimento ao cliente.",1,1,0,0,0,"entrega, condicoes de recebimento, outros",0.610222578048706,16.0,204.0,220.0,"['ENTREGA', 'CONDICOES DE RECEBIMENTO', 'OUTROS']"
"GOSTEI MUITO DO CELULAR,  DE FÁCIL MANOSEIO ,TAMANHO IDEAL LEVE E BONITO, GOSTEI.",0,0,1,0,0,"produto, outros",0.6357755661010742,7.0,182.0,189.0,['OUTROS']
"EU JÁ TIVE CELULARES DA SAMSUNG, E RECOMENDO O PRODUTO.",0,0,1,0,0,"produto, outros",0.46063804626464844,7.0,169.0,176.0,['OUTROS']
"Produto top, imagem frontal excelente de acordo os MB do equipamento , preço acessível, com a entrega tudo ok super rápida...",1,0,1,0,0,"produto, entrega",0.6695356369018555,7.0,173.0,180.0,['ENTREGA']
"O produto é muito bonito, fino, ótima bateria, porém na maioria do tempo é MUITO lento. Funções simples como abrir as ""notas alto adesivas"", carregar um ""navegador"" qualquer, carregar uma nova aba ou até mesmo abrir o word ou é feito com muita dificuldade causando aborrecimentos e atrasando eventuais trabalhos.",0,0,1,0,0,"produto, outros",0.6611387729644775,7.0,220.0,227.0,['OUTROS']
"Olá, estou decepcionada com a minha mercadoria, recebi a cuba amassada e a válvula quebrada, acredito que culpa dos correios, mas preciso que pelo menos a válvula me mandem novamente, pois não tenho como usar a cuba sem ela. No aguardo Josiani",0,1,0,1,0,"produto, condicoes de recebimento",0.539081335067749,13.0,210.0,223.0,['CONDICOES DE RECEBIMENTO']
"Eu tenho interesse em comprar o produto, mas gostaria de saber primeiro a seguinte informação: para que lado a porta desse refrigerador abre?",0,1,0,0,0,"produto, outros",0.6474201679229736,7.0,175.0,182.0,['OUTROS']
Nunca imaginei q viveria para ver isso um copo de plástico com esse preço.....,0,0,1,0,0,"produto, outros",0.6146483421325684,7.0,166.0,173.0,['OUTROS']
"Engraçado comprei este kit ja estava esperando a entrega porém foi cancelado segundo a lojas Americanas eles não vão mas fz entregas deste produto,mas estranho né que ainda continuam a vender será que foi devido ao preço que estava o kit por $89.00 e agora aumentaram o preço a única informação que tive que vai devolver o meu dinheiro mas estão aí vendendo",1,1,0,0,0,"entrega, produto, outros",0.6973128318786621,10.0,225.0,235.0,"['ENTREGA', 'OUTROS']"
"Comprei essa cadeira para o meu marido, que trabalha no minimo 8hrs por dia sentado, ele tem aproximadamente 83 Kg, e após 2 semanas de uso continuo da cadeira, começou a notar que a espuma afundou, e agora ele tem a sensação de estar sentado sobre uma tábua! Detalhe que a cadeira diz suportar até 130Kg.  De resto a cadeira é boa e aparenta ser bem resistente, mas se você tem um peso acima de 70Kg e a utiliza por muitas horas continuas, melhor escolher outra. Vou tentar entrar em contato com o suporte para verificar se existe alguma solução.",0,0,1,0,0,"produto, outros",0.5396251678466797,7.0,279.0,286.0,['OUTROS']
Recomendo bom smartephone tela grande atendeu minha espequitativa,0,0,1,0,0,"produto, outros",0.6402974128723145,7.0,162.0,169.0,['OUTROS']
"Achei mto mal acabado, nao cabe a escada dentro conforme mostra na foto.",0,0,1,0,1,"produto, outros",0.4559650421142578,7.0,166.0,173.0,['OUTROS']
Não vi grande ultilidade ainda. Para quem quer uar o basico até dá. Falta ainda muito para compensar o custo do aparelho.,0,0,1,0,0,"produto, outros",0.7383301258087158,7.0,179.0,186.0,['OUTROS']
"E a cuba veio quebrada! Enrolada somente em um papelão, era visto.",0,0,1,1,0,"produto, condicoes de recebimento",0.7706615924835205,13.0,167.0,180.0,['CONDICOES DE RECEBIMENTO']
"Instalação rápida e fácil, ventila muito bem no meu quarto 6m³, muito silencioso. A luz tbm funciona no interruptor (que não é incluso) e o controle funciona com uma bateria A23 (não incluso e único ponto mais complicado, poderia ser pilha convencional) - controle não possui uma qualidade muito boa, material fraco.",0,0,1,0,0,"produto, outros",0.6153583526611328,7.0,222.0,229.0,['OUTROS']
O produto veio em perfeito estado e funcionando direitinho. A entrega do produto também foi feita na data estipulada.,1,0,1,1,0,"produto, entrega",0.49245262145996094,7.0,172.0,179.0,['ENTREGA']
não gostei do produto vem pouca quantidade procuro uma coisa que cresça o cabelo de brilho e esse não foi o produto de Claro não gostei vem pouca quantidade,0,0,1,0,0,"produto, outros",0.8230617046356201,7.0,179.0,186.0,['OUTROS']
"Além de atrasar no prazo de entrega, não era o que eu esperava. Já tenho um carregador que veio junto com o celular, aí resolvi comprar outro pra usar no trabalho, mas não é a mesma coisa.",1,0,1,0,0,"entrega, produto",0.5465991497039795,7.0,194.0,201.0,['ENTREGA']
Produto trava fica com tela cinza sendo necessário desligar e ligar de novo para voltar a funcionar. Pode ser defeito do aparelho mas causa transtorno.,0,0,1,0,0,"produto, outros",0.7757031917572021,7.0,179.0,186.0,['OUTROS']
Acho que poderia ser bem melhor..o preço que paguei deveria ser melhor.!,0,0,1,0,0,"produto, outros",0.48268723487854004,7.0,164.0,171.0,['OUTROS']
"Nao veio o mesmo da caixa, nao funciona a luz nem a musica nem anda conforme o enunciado, é totalmente diferente desse q ta na caixa, foi a primeira vez q aconteceu isdo , de comprar e vim errado, fico triste com isso",0,0,0,1,1,"produto, outros",0.5345044136047363,7.0,199.0,206.0,['OUTROS']
"Apesar do atraso na entrega, o produto atende plenamente às necessidades a que se propõe. Obrigado pelo bom atendimento.",1,1,1,0,0,"entrega, produto, outros",0.5941362380981445,10.0,172.0,182.0,"['ENTREGA', 'OUTROS']"
"Comprei esse produto justamente porque constava o adaptador para Iphone, porém ao abrir a embalagem verifiquei que o Adaptador Iphone não veio junto com o produto.",0,0,0,1,0,"produto, outros",1.2832810878753662,7.0,183.0,190.0,['OUTROS']
