text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,no irony,"irony
",1.7401800155639648,3.0,105.0,108.0,irony
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,"irony
",1.7049598693847656,3.0,94.0,97.0,irony
#NOT GONNA WIN,no irony,"no irony
",1.3303816318511963,3.0,79.0,82.0,no irony
@user He is exactly that sort of person. Weirdo!,no irony,"irony
",1.6102426052093506,3.0,88.0,91.0,irony
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,"irony
",1.3251588344573975,3.0,115.0,118.0,irony
Corny jokes are my absolute favorite,no irony,"irony
",1.6863834857940674,3.0,82.0,85.0,irony
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,"irony
",1.4375982284545898,3.0,109.0,112.0,irony
"@user @user Darn, my sock joke needs fixing?",no irony,"irony
",1.4838051795959473,3.0,87.0,90.0,irony
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",no irony,"no irony
",1.4151170253753662,3.0,94.0,97.0,no irony
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,"irony
",1.4553656578063965,3.0,101.0,104.0,irony
Most important thing I've learned in school,no irony,"no irony
",1.5364673137664795,3.0,84.0,87.0,no irony
#OrionLaunch underway - yeah! #Orion,no irony,"no irony
",1.4457998275756836,3.0,84.0,87.0,no irony
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,"irony
",1.4712162017822266,3.0,95.0,98.0,irony
Oh boy... @user in the house. Warm up the DJ booth @user,no irony,"no irony
",1.4862849712371826,3.0,91.0,94.0,no irony
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",no irony,"irony
",1.4033520221710205,3.0,107.0,110.0,irony
"Always classy, never trashy and just a little sassy.",no irony,"no irony
",1.4665470123291016,3.0,87.0,90.0,no irony
"you believe you can say something, provide no proof and its a fact, WRONG @user @user",no irony,"irony
",1.1978285312652588,3.0,95.0,98.0,irony
@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,no irony,"no irony
",0.8693947792053223,3.0,115.0,118.0,no irony
@user Re: Jamie Grace has Tourette's? Thanks for sharing. I'm about to research her & post my tribute to this Young lady Gospel singer,no irony,"no irony
",1.2272703647613525,3.0,108.0,111.0,no irony
@user Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,irony,"irony
",1.2922472953796387,3.0,94.0,97.0,irony
Exam na jud. Merry christmas. ||#Sarcasm|#KillUsSlowly,irony,"irony
",1.328138828277588,3.0,91.0,94.0,irony
The definition of #IRONY would be if a 77-year-old rapper went #viral and took #BITCOIN mainstream. Maybe only way #babyboomers will buy in.,irony,"irony
",1.4396440982818604,3.0,114.0,117.0,irony
Pretty excited about how you gave up on me. File Under: #sarcasm,irony,"irony
",1.5234336853027344,3.0,91.0,94.0,irony
Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,irony,"irony
",1.457521677017212,3.0,107.0,110.0,irony
@user u know that. How u doing??,no irony,"no irony
",1.366844654083252,3.0,85.0,88.0,no irony
@user hmm... let me think about that #sarcasm,irony,"irony
",1.1876068115234375,3.0,87.0,90.0,irony
"If you wanna look like a badass, have drama on social media #not",irony,"irony
",1.5427539348602295,3.0,90.0,93.0,irony
How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley,irony,"irony
",1.4139533042907715,3.0,93.0,96.0,irony
"@user I think the general rule is, if it's open all night, pull an all-nighter.",no irony,"no irony
",17.155829668045044,3.0,99.0,102.0,no irony
Natalie Prass - Bird of Prey: via @user,no irony,"no irony
",2.595492362976074,3.0,86.0,89.0,no irony
Nooooooooooo again it's on!!! #PickANewSong #CantStandIt,no irony,"irony
",1.6204884052276611,3.0,93.0,96.0,irony
"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony",irony,"irony
",1.5011088848114014,3.0,93.0,96.0,irony
@user exactly and we are fighting like animals,no irony,"no irony
",1.2388648986816406,3.0,84.0,87.0,no irony
#TeenAnalCasting #Top Top 50 Christian Songs For 2012,no irony,"irony
",1.2646677494049072,3.0,93.0,96.0,irony
The girls on #SororitySisters thought they'd get rich and famous but instead they be like...,no irony,"irony
",1.2354364395141602,3.0,96.0,99.0,irony
"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?",no irony,"no irony
",1.4377250671386719,3.0,107.0,110.0,no irony
#TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009,no irony,"no irony
",1.3321211338043213,3.0,98.0,101.0,no irony
"season 6 episode 3 carries outfit, simple & chic 👌",no irony,"no irony
",1.4355340003967285,3.0,88.0,91.0,no irony
Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed,irony,"irony
",1.8215951919555664,3.0,99.0,102.0,irony
