text,cs.AI,cs.CL,cs.LG,math.OC,stat.ML,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
FLAG: Fast Label-Adaptive Aggregation for Multi-label Classification in Federated Learning,1,0,1,0,0,"cs.ai, cs.lg, stat.ml",1.0786380767822266,12.0,123.0,135.0,[]
Large-Margin Classification in Hyperbolic Space,0,0,1,0,1,"cs.lg, stat.ml",0.42464780807495117,8.0,116.0,124.0,[]
Student Specialization in Deep ReLU Networks With Finite Width and Input Dimension,0,0,1,0,1,"cs.ai, cs.lg",0.4875483512878418,8.0,122.0,130.0,[]
Joint Modelling of Emotion and Abusive Language Detection,0,1,1,0,0,"cs.ai, cs.lg",0.5912783145904541,8.0,117.0,125.0,[]
Allocation of Excitation Signals for Generic Identifiability of Linear Dynamic Networks,0,0,0,1,0,math.oc,0.5569427013397217,4.0,121.0,125.0,[]
Fidelity-Induced Interpretable Policy Extraction for Reinforcement Learning,1,0,1,0,0,"cs.ai, cs.lg",0.8138103485107422,8.0,119.0,127.0,[]
Koopman Methods for Estimation of Animal Motions over Unknown Submanifolds,0,0,1,0,1,"cs.lg, stat.ml",0.7807440757751465,8.0,123.0,131.0,[]
Probabilistic Multilevel Clustering via Composite Transportation Distance,0,0,1,0,1,"stat.ml, cs.lg",0.4579124450683594,8.0,118.0,126.0,[]
Internet-Augmented Dialogue Generation,1,1,0,0,0,"cs.ai, cs.cl",1.104356288909912,7.0,112.0,119.0,[]
Uncertainty in Fairness Assessment: Maintaining Stable Conclusions Despite Fluctuations,0,0,1,0,0,"cs.ai, stat.ml",0.5649662017822266,8.0,122.0,130.0,[]
Learning Implicit Generative Models with Theoretical Guarantees,0,0,1,0,1,"cs.ai, stat.ml, cs.lg",0.616757869720459,12.0,118.0,130.0,[]
"Granular-ball computing: an efficient, robust, and interpretable adaptive multi-granularity representation and computation method",1,0,1,0,0,"cs.ai, cs.lg",0.5862782001495361,8.0,129.0,137.0,[]
A general Markov decision process formalism for action-state entropy-regularized reward maximization,1,0,1,0,0,"cs.ai, stat.ml, math.oc",0.6060450077056885,12.0,125.0,137.0,[]
Dynamic Causal Effects Evaluation in A/B Testing with a Reinforcement Learning Framework,0,0,1,0,1,"cs.ai, cs.lg, stat.ml",0.6267964839935303,12.0,122.0,134.0,[]
Dependency-based Mixture Language Models,0,1,0,0,0,cs.lg,0.45446252822875977,4.0,113.0,117.0,[]
CloudScan - A configuration-free invoice analysis system using recurrent neural networks,0,1,0,0,0,"cs.ai, cs.lg, stat.ml",0.493894100189209,12.0,120.0,132.0,[]
LMVE at SemEval-2020 Task 4: Commonsense Validation and Explanation using Pretraining Language Model,1,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.6735889911651611,11.0,129.0,140.0,[]
AutoAI-TS: AutoAI for Time Series Forecasting,1,0,1,0,0,"cs.ai, cs.lg",0.6445605754852295,8.0,119.0,127.0,[]
Sampling in Constrained Domains with Orthogonal-Space Variational Gradient Descent,0,0,1,0,1,"cs.lg, stat.ml",0.6811659336090088,8.0,122.0,130.0,[]
Cloud-Enabled Differentially Private Multi-Agent Optimization with Constraints,0,0,0,1,0,"cs.ai, cs.lg, stat.ml",0.5996928215026855,12.0,118.0,130.0,[]
A Joint Learning Approach based on Self-Distillation for Keyphrase Extraction from Scientific Documents,0,1,1,0,0,"cs.ai, cs.lg, stat.ml",0.7078828811645508,12.0,124.0,136.0,[]
RuSentNE-2023: Evaluating Entity-Oriented Sentiment Analysis on Russian News Texts,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.816260814666748,11.0,127.0,138.0,[]
GraphTSNE: A Visualization Technique for Graph-Structured Data,0,0,1,0,1,"cs.ai, cs.lg",0.44974803924560547,8.0,119.0,127.0,[]
Using Artificial French Data to Understand the Emergence of Gender Bias in Transformer Language Models,1,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5220074653625488,11.0,123.0,134.0,[]
Optimal Low-Rank Dynamic Mode Decomposition,0,0,0,0,1,"math.oc, cs.lg",0.4859199523925781,8.0,115.0,123.0,[]
Efficient Localized Inference for Large Graphical Models,0,0,1,0,1,"cs.ai, stat.ml, math.oc",0.5233423709869385,12.0,117.0,129.0,[]
How to model marine reserves ?,0,0,0,1,0,math.oc,0.4464683532714844,4.0,113.0,117.0,[]
Graph Regularized Low Rank Representation for Aerosol Optical Depth Retrieval,0,0,1,0,0,cs.lg,0.506197452545166,4.0,119.0,123.0,[]
Operational planning and bidding for district heating systems with uncertain renewable energy production,0,0,0,1,0,"cs.ai, cs.lg",0.8035497665405273,8.0,120.0,128.0,[]
Optimal Bounds for Integrals with Respect to Copulas and Applications,0,0,0,1,0,math.oc,0.6201112270355225,4.0,119.0,123.0,[]
EAdam Optimizer: How $\epsilon$ Impact Adam,0,0,1,0,1,cs.lg,0.5276260375976562,4.0,118.0,122.0,[]
An Analysis of Dual-Issue Final-Offer Arbitration,0,0,0,1,0,math.oc,0.5865614414215088,4.0,117.0,121.0,[]
Neural Oblivious Decision Ensembles for Deep Learning on Tabular Data,0,0,1,0,1,"cs.lg, stat.ml",0.6848981380462646,8.0,121.0,129.0,[]
Learning Goal Embeddings via Self-Play for Hierarchical Reinforcement Learning,0,0,1,0,1,"cs.ai, cs.lg",0.4871859550476074,8.0,121.0,129.0,[]
Resonance in Weight Space: Covariate Shift Can Drive Divergence of SGD with Momentum,0,0,1,0,1,"cs.lg, stat.ml",0.6017324924468994,8.0,125.0,133.0,[]
Deep Minimax Probability Machine,0,0,1,0,1,"cs.ai, stat.ml",0.5471436977386475,8.0,112.0,120.0,[]
Is Sluice Resolution really just Question Answering?,1,1,0,0,0,cs.cl,0.5062477588653564,3.0,118.0,121.0,[]
Relation Extraction from Biomedical and Clinical Text: Unified Multitask Learning Framework,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",1.0826561450958252,11.0,121.0,132.0,[]
Robust PCA in High-dimension: A Deterministic Approach,0,0,1,0,1,math.oc,0.5274367332458496,4.0,119.0,123.0,[]
In-context Learning as Maintaining Coherency: A Study of On-the-fly Machine Translation Using Large Language Models,1,1,0,0,0,"cs.ai, cs.cl, stat.ml, cs.lg",0.6190361976623535,15.0,129.0,144.0,[]
Reasoning over Multi-view Knowledge Graphs,1,0,1,0,0,"cs.ai, cs.lg",0.5291171073913574,8.0,115.0,123.0,[]
Doing Good or Doing Right? Exploring the Weakness of Commonsense Causal Reasoning Models,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.5895102024078369,11.0,125.0,136.0,[]
"Weak, Strong and Linear Convergence of a Double-Layer Fixed Point Algorithm",0,0,0,1,0,math.oc,0.5605411529541016,4.0,122.0,126.0,[]
Dynamic Fusion: Attentional Language Model for Neural Machine Translation,0,1,0,0,0,"cs.ai, cs.cl, stat.ml",3.9713854789733887,11.0,119.0,130.0,[]
UMIX: Improving Importance Weighting for Subpopulation Shift via Uncertainty-Aware Mixup,0,0,1,0,0,"cs.ai, stat.ml, cs.lg",0.5618903636932373,12.0,125.0,137.0,[]
Comparing PCG metrics with Human Evaluation in Minecraft Settlement Generation,1,0,0,0,0,"cs.ai, cs.lg",0.620086669921875,8.0,118.0,126.0,[]
Subdifferentials of Nonconvex Integral Functionals in Banach Spaces with Applications to Stochastic Dynamic Programming,0,0,0,1,0,math.oc,2.2644412517547607,4.0,129.0,133.0,[]
Joint Causal Inference from Multiple Contexts,1,0,1,0,1,"cs.ai, stat.ml",0.5467252731323242,8.0,116.0,124.0,[]
Erratum: Link prediction in drug-target interactions network using similarity indices,1,0,0,0,0,"cs.ai, cs.lg",0.4667694568634033,8.0,120.0,128.0,[]
Computationally Efficient Estimators for Dimension Reductions Using Stable Random Projections,0,0,1,0,0,"stat.ml, math.oc",0.5809998512268066,8.0,122.0,130.0,[]
Learning to solve arithmetic problems with a virtual abacus,1,0,1,0,0,"cs.ai, cs.lg",0.590050458908081,8.0,117.0,125.0,[]
Optimizing the Performative Risk under Weak Convexity Assumptions,0,0,1,0,1,"stat.ml, math.oc",0.5563690662384033,8.0,121.0,129.0,[]
Local Optima Networks of the Quadratic Assignment Problem,1,0,0,0,0,math.oc,0.643653154373169,4.0,117.0,121.0,[]
What Makes for Robust Multi-Modal Models in the Face of Missing Modalities?,1,0,0,0,0,"cs.ai, cs.lg, stat.ml",0.5170309543609619,12.0,123.0,135.0,[]
ChatGPT Beyond English: Towards a Comprehensive Evaluation of Large Language Models in Multilingual Learning,1,1,0,0,0,"cs.ai, cs.cl, stat.ml",0.899162769317627,11.0,124.0,135.0,[]
Introducing Expertise Logic into Graph Representation Learning from A Causal Perspective,0,0,1,0,0,"cs.ai, cs.lg",0.4940376281738281,8.0,119.0,127.0,[]
Escaping strict saddle points of the Moreau envelope in nonsmooth optimization,0,0,1,1,1,math.oc,0.6869509220123291,4.0,121.0,125.0,[]
You are AllSet: A Multiset Function Framework for Hypergraph Neural Networks,1,0,1,0,0,"cs.ai, cs.lg",0.5958714485168457,8.0,122.0,130.0,[]
