text,label,prediction,response_time,vram_usage,ram_usage,total_time
@user Can U Help?||More conservatives needed on #TSU + get paid 4 posting stuff like this!||YOU $ can go to,no irony,irony,2.312530517578125,4262,69.89453125,0.2673498
"Just walked in to #Starbucks and asked for a ""tall blonde"" Hahahaha #irony",irony,irony,2.1729798316955566,4242,70.23046875,0.138429
#NOT GONNA WIN,no irony,irony,2.2399344444274902,4230,70.8515625,0.2042436
@user He is exactly that sort of person. Weirdo!,no irony,irony,2.1756317615509033,4238,70.9296875,0.1359973
So much #sarcasm at work mate 10/10 #boring 100% #dead mate full on #shit absolutely #sleeping mate can't handle the #sarcasm,irony,irony,2.239238977432251,4242,70.9453125,0.194002
Corny jokes are my absolute favorite,no irony,no irony,2.2407567501068115,4242,71.02734375,0.1900388
"People complain about my backround pic and all I feel is like ""hey don't blame me, Albert E might have spoken those words"" #sarcasm #life",irony,irony,2.171562433242798,4240,71.14453125,0.1301641
"@user @user Darn, my sock joke needs fixing?",no irony,irony,2.267399311065674,4260,71.34765625,0.2224885
"if Christian expects Fifa to sleep in my bed with me tonight, he's wrong 👿",no irony,irony,2.3160922527313232,4260,71.42578125,0.2706033
"People who tell people with anxiety to ""just stop worrying about it"" are my favorite kind of people #not #educateyourself",irony,irony,2.3335816860198975,4256,71.45703125,0.2986242
Most important thing I've learned in school,no irony,no irony,2.26312518119812,4254,71.84765625,0.224902
#OrionLaunch underway - yeah! #Orion,no irony,irony,2.1750075817108154,4254,71.35546875,0.1379843
I love context and large ensemble Fridays!!!!! Der my most favourite #Sarcasm #GetTheFuckOut,irony,irony,2.265641689300537,4253,71.50390625,0.226674
Oh boy... @user in the house. Warm up the DJ booth @user,no irony,irony,2.2506070137023926,4253,71.55859375,0.2100544
"LIAR, i've never denied the 532 murders in Chicago in 2012 @user @user @user @user @user",no irony,irony,2.2047879695892334,4253,72.11328125,0.1493252
"Always classy, never trashy and just a little sassy.",no irony,irony,2.2835781574249268,4256,72.12109375,0.2370693
"you believe you can say something, provide no proof and its a fact, WRONG @user @user",no irony,irony,2.3642146587371826,4263,72.125,0.3191908
@user #Not #Long To Go #Before #MainStream #Media #Pitch. #Surgery #follows #with #me #using #Prototype #demonstrating #real #situation.Phil,no irony,irony,2.1973750591278076,4263,72.16015625,0.1546686
