text,true_label,predicted_label,peak_memory_usage,max_vram_usage,inference_time,num_input_tokens,num_output_tokens
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive,positive,1464.6171875,2366.41845703125,2.028370000072755,154,1
consistently clever and suspenseful .,positive,positive,1472.9296875,2363.12744140625,1.3544626999646425,134,1
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",positive,positive,1473.0546875,2367.07666015625,1.3003862999612466,158,1
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",positive,positive,1473.09765625,2366.08935546875,1.287320900009945,152,1
"red dragon "" never cuts corners .",positive,positive,1473.125,2363.29248046875,1.3177191999275237,135,1
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive,positive,1473.15234375,2366.91259765625,1.2982205000007525,157,1
throws in enough clever and unexpected twists to make the formula feel fresh .,positive,positive,1473.19140625,2364.44384765625,1.3227553999749944,142,1
weighty and ponderous but every bit as filling as the treat of the title .,positive,positive,1473.21875,2364.93798828125,1.2723126000491902,145,1
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",positive,positive,1473.26171875,2367.57080078125,1.2693046999629587,161,1
generates an enormous feeling of empathy for its characters .,positive,positive,1473.30078125,2363.78564453125,1.298155799973756,138,1
exposing the ways we fool ourselves is one hour photo's real strength .,positive,positive,1473.30859375,2364.44384765625,1.3163504999829456,142,1
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",positive,negative,1473.37109375,2368.72216796875,1.2661940000252798,168,1
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",positive,positive,1473.39453125,2366.25439453125,1.2713489000452682,153,1
. . . quite good at providing some good old fashioned spooks .,positive,positive,1473.421875,2364.44384765625,1.3066997999558225,142,1
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",positive,negative,1473.44140625,2365.59619140625,1.2683667000383139,149,1
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,positive,positive,1473.453125,2365.43115234375,1.2717904000310227,148,1
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",positive,positive,1473.53125,2371.16650390625,1.2673716000281274,181,1
"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",positive,positive,1473.671875,2371.79345703125,1.2963823999743909,186,1
"as it turns out , you can go home again .",positive,positive,1473.67578125,2363.95068359375,1.303787300013937,139,1
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .",positive,positive,1473.69140625,2365.76025390625,1.2830848000012338,150,1
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",positive,positive,1473.72265625,2367.57080078125,1.2764029999962077,161,1
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",positive,positive,1473.7421875,2368.55810546875,1.2486272000242025,167,1
"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .",positive,positive,1473.75390625,2366.58349609375,1.2645854000002146,155,1
"a powerful , chilling , and affecting study of one man's dying fall .",positive,positive,1473.76171875,2364.60888671875,1.2648750999942422,143,1
this is a fascinating film because there is no clear-cut hero and no all-out villain .,positive,positive,1473.7734375,2365.10205078125,1.2718296999810264,146,1
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",positive,positive,1473.77734375,2364.93798828125,1.2666993000311777,145,1
. . . a good film that must have baffled the folks in the marketing department .,positive,positive,1473.77734375,2365.10205078125,1.2671763999387622,146,1
". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",positive,positive,1473.78125,2368.72216796875,1.2609816000331193,168,1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",positive,negative,1473.7890625,2367.89990234375,1.2741984999738634,163,1
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,positive,positive,1473.7890625,2367.57080078125,1.262796700000763,161,1
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,positive,positive,1473.79296875,2366.74755859375,1.2788468999788165,156,1
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",positive,negative,1473.79296875,2366.41845703125,1.2750386000843719,154,1
"the performances are immaculate , with roussillon providing comic relief .",positive,positive,1473.79296875,2364.44384765625,1.2995880999369547,142,1
kinnear . . . gives his best screen performance with an oddly winning portrayal of one of life's ultimate losers .,positive,positive,1473.80078125,2366.08935546875,1.2692522999132052,152,1
"hugh grant , who has a good line in charm , has never been more charming than in about a boy .",positive,positive,1473.8125,2365.92529296875,1.2662380000110716,151,1
there's a lot of tooth in roger dodger . but what's nice is that there's a casual intelligence that permeates the script .,positive,positive,1473.82421875,2366.91259765625,1.2656486999476328,157,1
"reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .",positive,negative,1473.8359375,2366.74755859375,1.263100799988024,156,1
one of the best looking and stylish animated movies in quite a while . . .,positive,positive,1473.83984375,2364.77294921875,1.2713961000554264,144,1
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",positive,positive,1473.84765625,2368.22900390625,1.2644823000300676,165,1
denver should not get the first and last look at one of the most triumphant performances of vanessa redgrave's career . it deserves to be seen everywhere .,positive,positive,1473.84765625,2367.57080078125,1.2711215000599623,161,1
"you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .",positive,positive,1473.87109375,2371.04052734375,1.2493459000252187,180,1
waiting for godard can be fruitful : 'in praise of love' is the director's epitaph for himself .,positive,positive,1473.87890625,2365.92529296875,1.276563600054942,151,1
a gangster movie with the capacity to surprise .,positive,positive,1473.90234375,2363.78564453125,1.288835100014694,138,1
"the film has a laundry list of minor shortcomings , but the numerous scenes of gory mayhem are worth the price of admission . . . if "" gory mayhem "" is your idea of a good time .",positive,positive,1473.90234375,2369.21630859375,1.2546853999374434,171,1
"if not a home run , then at least a solid base hit .",positive,positive,1473.90625,2364.44384765625,1.2939922999357805,142,1
goldmember is funny enough to justify the embarrassment of bringing a barf bag to the moviehouse .,positive,positive,1473.90625,2365.43115234375,1.2673027000855654,148,1
. . . a fairly disposable yet still entertaining b picture .,positive,negative,1473.90625,2364.11474609375,1.3021273000631481,140,1
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",positive,positive,1473.890625,2366.25439453125,1.2642730999505147,153,1
the film truly does rescue [the funk brothers] from motown's shadows . it's about time .,positive,positive,1473.89453125,2365.59619140625,1.2606145999161527,149,1
"drawing on an irresistible , languid romanticism , byler reveals the ways in which a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth .",positive,positive,1473.92578125,2369.05126953125,1.2672638000221923,170,1
"works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .",positive,negative,1473.92578125,2367.73486328125,1.261877299984917,162,1
[scherfig] has made a movie that will leave you wondering about the characters' lives after the clever credits roll .,positive,positive,1473.9296875,2366.25439453125,1.2596541999373585,153,1
"a heady , biting , be-bop ride through nighttime manhattan , a loquacious videologue of the modern male and the lengths to which he'll go to weave a protective cocoon around his own ego .",positive,positive,1473.93359375,2369.38037109375,1.2519172999309376,172,1
"skin of man gets a few cheap shocks from its kids-in-peril theatrics , but it also taps into the primal fears of young people trying to cope with the mysterious and brutal nature of adults .",positive,positive,1473.93359375,2368.72216796875,1.2416636999696493,168,1
"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling .",positive,negative,1473.93359375,2368.39306640625,1.2485275000799447,166,1
as refreshing as a drink from a woodland stream .,positive,positive,1473.93359375,2363.78564453125,1.3005533999530599,138,1
williams absolutely nails sy's queasy infatuation and overall strangeness .,positive,positive,1473.93359375,2364.77294921875,1.2646361999213696,144,1
can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ?,positive,positive,1473.93359375,2367.07666015625,1.2590679000131786,158,1
"while it's nothing we haven't seen before from murphy , i spy is still fun and enjoyable and so aggressively silly that it's more than a worthwhile effort .",positive,positive,1473.93359375,2367.57080078125,1.2681902999756858,161,1
"by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .",positive,negative,1473.9453125,2370.20361328125,1.2480375999584794,177,1
an intimate contemplation of two marvelously messy lives .,positive,positive,1473.9609375,2363.95068359375,1.3186996999429539,139,1
"rarely has skin looked as beautiful , desirable , even delectable , as it does in trouble every day .",positive,positive,1473.9609375,2365.76025390625,1.2523750000400469,150,1
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,positive,positive,1473.9609375,2366.08935546875,1.27313589991536,152,1
poignant if familiar story of a young person suspended between two cultures .,positive,positive,1473.9609375,2364.27978515625,1.2985743000172079,141,1
