text,bug,docs,feature,question,won't fix,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
Update CONTRIBUTING.md on bugfixes/features PRs,0,1,0,0,0,docs,1.2752900123596191,2.0,105.0,107.0,['docs']
How to print the metric (across all working trainer in DDP mode) into console after each epoch is end?,0,0,0,1,1,question,0.543898344039917,2.0,118.0,120.0,['question']
Model loaded from checkpoint has bad accuracy ,0,0,0,1,0,bug,0.5589027404785156,2.0,102.0,104.0,['bug']
Add a robots.txt to stop Google from indexing Deprecated Versions of the Docs,0,1,0,0,0,"feature, docs",0.5014770030975342,4.0,108.0,112.0,"['feature', 'docs']"
Multi-processing with IterableDataset Warning ,0,1,0,0,0,bug,0.964022159576416,2.0,101.0,103.0,['bug']
What is the correct way to set accumulate_grad_batches more than 1 and also a customized optimizer_step?,0,0,0,0,1,question,0.4612295627593994,2.0,115.0,117.0,['question']
Logging validation metrics with `val_check_interval`,0,0,0,1,0,feature,0.3855781555175781,2.0,103.0,105.0,['feature']
How do I pass metric to tensorboards hparam interface,0,0,0,1,0,question,0.7447011470794678,2.0,105.0,107.0,['question']
How to add a hidden state in test_step when dealing with sequential data?,0,0,0,1,0,question,0.521967887878418,2.0,109.0,111.0,['question']
"RuntimeError: Tensor for 'out' is on CPU, Tensor for argument #1 'self' is on CPU, but expected them to be on GPU (while checking arguments for addmm)",0,0,0,1,0,bug,0.6110868453979492,2.0,133.0,135.0,['bug']
Most efficient way to log data to file within training/validation_step,0,0,0,1,1,feature,0.4475436210632324,2.0,107.0,109.0,['feature']
How to gather predict on ddp,0,0,0,1,0,question,0.5568039417266846,2.0,101.0,103.0,['question']
How to get world_size and global_rank in custom LightningDataModule? ,0,0,0,1,0,question,0.5544967651367188,2.0,109.0,111.0,['question']
Best Practice: How to enhance already existing models with lightning?,0,0,0,1,0,feature,0.6622598171234131,2.0,106.0,108.0,['feature']
Typo correction in optimizers documentation,0,1,0,0,0,docs,0.8203940391540527,2.0,101.0,103.0,['docs']
Available value list of Accelerator.barrier's `name` argument,0,0,0,1,0,docs,0.4846179485321045,2.0,106.0,108.0,['docs']
There doesn't seem to be a way to set requires_grad=True for parameters you don't want to update,0,0,0,1,1,question,0.46082592010498047,2.0,113.0,115.0,['question']
