text,label,prediction,request_time,completion_tokens,prompt_tokens,total_tokens,prediction_post_processed
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .",positive,positive,0.956202507019043,2.0,113.0,115.0,positive
consistently clever and suspenseful .,positive,positive,0.6337945461273193,2.0,94.0,96.0,positive
"it's like a "" big chill "" reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .",positive,negative,0.5927383899688721,2.0,117.0,119.0,negative
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",positive,positive,0.5203487873077393,2.0,112.0,114.0,positive
"red dragon "" never cuts corners .",positive,positive,0.5639102458953857,2.0,95.0,97.0,positive
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .,positive,positive,0.48537635803222656,2.0,117.0,119.0,positive
throws in enough clever and unexpected twists to make the formula feel fresh .,positive,positive,0.6677148342132568,2.0,102.0,104.0,positive
weighty and ponderous but every bit as filling as the treat of the title .,positive,positive,0.47014284133911133,2.0,105.0,107.0,positive
"a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .",positive,positive,0.5441863536834717,2.0,119.0,121.0,positive
generates an enormous feeling of empathy for its characters .,positive,positive,0.49304771423339844,2.0,98.0,100.0,positive
exposing the ways we fool ourselves is one hour photo's real strength .,positive,positive,1.1526870727539062,2.0,102.0,104.0,positive
"it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .",positive,negative,0.4718332290649414,2.0,125.0,127.0,negative
"mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .",positive,positive,0.678142786026001,2.0,113.0,115.0,positive
. . . quite good at providing some good old fashioned spooks .,positive,positive,0.5047409534454346,2.0,102.0,104.0,positive
"at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",positive,negative,0.48391246795654297,2.0,109.0,111.0,negative
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .,positive,positive,0.5138969421386719,2.0,107.0,109.0,positive
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",positive,positive,0.45244574546813965,2.0,138.0,140.0,positive
"the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .",positive,positive,1.0172088146209717,2.0,145.0,147.0,positive
"as it turns out , you can go home again .",positive,positive,1.5087251663208008,2.0,99.0,101.0,positive
"you've already seen city by the sea under a variety of titles , but it's worth yet another visit .",positive,positive,0.7299180030822754,2.0,108.0,110.0,positive
"this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .",positive,positive,0.55025315284729,2.0,122.0,124.0,positive
"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .",positive,negative,0.5019285678863525,2.0,125.0,127.0,negative
"grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .",positive,positive,0.5292553901672363,2.0,115.0,117.0,positive
"a powerful , chilling , and affecting study of one man's dying fall .",positive,positive,0.4640998840332031,2.0,102.0,104.0,positive
this is a fascinating film because there is no clear-cut hero and no all-out villain .,positive,positive,1.1591484546661377,2.0,106.0,108.0,positive
"a dreadful day in irish history is given passionate , if somewhat flawed , treatment .",positive,negative,0.5635361671447754,2.0,105.0,107.0,negative
. . . a good film that must have baffled the folks in the marketing department .,positive,positive,0.5109472274780273,2.0,106.0,108.0,positive
". . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .",positive,positive,0.5800321102142334,2.0,127.0,129.0,positive
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .",positive,negative,0.4529902935028076,2.0,121.0,123.0,negative
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,positive,positive,0.5071597099304199,2.0,121.0,123.0,positive
what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .,positive,positive,0.5724554061889648,2.0,114.0,116.0,positive
"the main story . . . is compelling enough , but it's difficult to shrug off the annoyance of that chatty fish .",positive,negative,0.45409059524536133,2.0,112.0,114.0,negative
